PERIOD,carbon_cap_tco2_per_yr,carbon_cost_dollar_per_tco2
2023,4807093401.79226,0.0
2028,4856000000.0,0.0
2033,4000000000.0,0.0
2038,3000000000.0,0.0
2043,2000000000.0,0.0
2048,1000000000.0,0.0
