load_zone,fuel,period,fuel_cost
Shanxi,Coal,2048,5.56847047805786
Shanxi,Uranium,2023,0.9
Shanxi,Uranium,2028,0.979999995231628
Shanxi,Uranium,2033,1.05999999046326
Shanxi,Uranium,2038,1.13999998569489
Shanxi,Uranium,2043,1.22000002861023
Shanxi,Uranium,2048,1.3
Sichuan,Coal,2023,4.01312942504883
Sichuan,Coal,2028,4.2191951751709
Sichuan,Coal,2033,4.44054479598999
Sichuan,Coal,2038,4.66566190719604
Sichuan,Coal,2043,4.87815141677856
Sichuan,Coal,2048,5.09064092636108
Sichuan,Uranium,2023,0.9
Sichuan,Uranium,2028,0.979999995231628
Sichuan,Uranium,2033,1.05999999046326
Sichuan,Uranium,2038,1.13999998569489
Sichuan,Uranium,2043,1.22000002861023
Sichuan,Uranium,2048,1.3
Tianjin,Coal,2023,5.18384008407593
Tianjin,Coal,2028,5.44657392501831
Tianjin,Coal,2033,5.72567090988159
Tianjin,Coal,2038,6.00176038742065
Tianjin,Coal,2043,6.27003574371338
Tianjin,Coal,2048,6.5383111000061
Tianjin,Uranium,2023,0.9
Tianjin,Uranium,2028,0.979999995231628
Tianjin,Uranium,2033,1.05999999046326
Tianjin,Uranium,2038,1.13999998569489
Tianjin,Uranium,2043,1.22000002861023
Tianjin,Uranium,2048,1.3
Tibet,Coal,2023,3.25197424888611
Tibet,Coal,2028,3.41940259933472
Tibet,Coal,2033,3.5934157371521
Tibet,Coal,2038,3.76604294776917
Tibet,Coal,2043,3.93414754867554
Tibet,Coal,2048,4.10225210189819
Tibet,Uranium,2023,0.9
Tibet,Uranium,2028,0.979999995231628
Tibet,Uranium,2033,1.05999999046326
Tibet,Uranium,2038,1.13999998569489
Tibet,Uranium,2043,1.22000002861023
Tibet,Uranium,2048,1.3
West_Inner_Mongolia,Coal,2023,2.94158773422241
West_Inner_Mongolia,Coal,2028,3.09227337837219
West_Inner_Mongolia,Coal,2033,3.25071702003479
West_Inner_Mongolia,Coal,2038,3.40284376144409
West_Inner_Mongolia,Coal,2043,3.55386662483215
West_Inner_Mongolia,Coal,2048,3.70488948822022
West_Inner_Mongolia,Uranium,2023,0.9
West_Inner_Mongolia,Uranium,2028,0.979999995231628
West_Inner_Mongolia,Uranium,2033,1.05999999046326
West_Inner_Mongolia,Uranium,2038,1.13999998569489
West_Inner_Mongolia,Uranium,2043,1.22000002861023
West_Inner_Mongolia,Uranium,2048,1.3
Xinjiang,Coal,2023,3.01262364387512
Xinjiang,Coal,2028,3.49245638847351
Xinjiang,Coal,2033,4.04871416091919
Xinjiang,Coal,2038,4.6935694694519
Xinjiang,Coal,2043,5.44113330841064
Xinjiang,Coal,2048,6.30776481628418
Xinjiang,Uranium,2023,0.9
Xinjiang,Uranium,2028,0.979999995231628
Xinjiang,Uranium,2033,1.05999999046326
Xinjiang,Uranium,2038,1.13999998569489
Xinjiang,Uranium,2043,1.22000002861023
Xinjiang,Uranium,2048,1.3
Yunnan,Coal,2023,6.49106941223144
Yunnan,Coal,2028,6.81948661804199
Yunnan,Coal,2033,7.16571702957153
Yunnan,Coal,2038,7.50233345031738
Yunnan,Coal,2043,7.83465051651001
Yunnan,Coal,2048,8.16696739196777
Yunnan,Uranium,2023,0.9
Yunnan,Uranium,2028,0.979999995231628
Yunnan,Uranium,2033,1.05999999046326
Yunnan,Uranium,2038,1.13999998569489
Yunnan,Uranium,2043,1.22000002861023
Yunnan,Uranium,2048,1.3
Zhejiang,Coal,2023,6.06477098464966
Zhejiang,Coal,2028,6.37515745162964
Zhejiang,Coal,2033,6.69376716613769
Zhejiang,Coal,2038,7.00042839050293
Zhejiang,Coal,2043,7.30774202346802
Zhejiang,Coal,2048,7.61505575180054
Zhejiang,Uranium,2023,0.9
Zhejiang,Uranium,2028,0.979999995231628
Zhejiang,Uranium,2033,1.05999999046326
Zhejiang,Uranium,2038,1.13999998569489
Zhejiang,Uranium,2043,1.22000002861023
Zhejiang,Uranium,2048,1.3
