load_zone,fuel,period,fuel_cost
Anhui,Coal,2023,4.84125595092773
Anhui,Coal,2028,5.08724679946899
Anhui,Coal,2033,5.34757099151611
Anhui,Coal,2038,5.60395479202271
Anhui,Coal,2043,5.8539493560791
Anhui,Coal,2048,6.10394401550293
Anhui,Uranium,2023,0.9
Anhui,Uranium,2028,0.979999995231628
Anhui,Uranium,2033,1.05999999046326
Anhui,Uranium,2038,1.13999998569489
Anhui,Uranium,2043,1.22000002861023
Anhui,Uranium,2048,1.3
Beijing,Coal,2023,5.18384008407593
Beijing,Coal,2028,5.44657392501831
Beijing,Coal,2033,5.72567090988159
Beijing,Coal,2038,6.00176038742065
Beijing,Coal,2043,6.27003574371338
Beijing,Coal,2048,6.5383111000061
Beijing,Uranium,2023,0.9
Beijing,Uranium,2028,0.979999995231628
Beijing,Uranium,2033,1.05999999046326
Beijing,Uranium,2038,1.13999998569489
Beijing,Uranium,2043,1.22000002861023
Beijing,Uranium,2048,1.3
Chongqing,Coal,2023,4.01312942504883
Chongqing,Coal,2028,4.2191951751709
Chongqing,Coal,2033,4.44054479598999
Chongqing,Coal,2038,4.66566190719604
Chongqing,Coal,2043,4.87815141677856
Chongqing,Coal,2048,5.09064092636108
Chongqing,Uranium,2023,0.9
Chongqing,Uranium,2028,0.979999995231628
Chongqing,Uranium,2033,1.05999999046326
Chongqing,Uranium,2038,1.13999998569489
Chongqing,Uranium,2043,1.22000002861023
Chongqing,Uranium,2048,1.3
East_Inner_Mongolia,Coal,2023,2.94158773422241
East_Inner_Mongolia,Coal,2028,3.09227337837219
East_Inner_Mongolia,Coal,2033,3.25071702003479
East_Inner_Mongolia,Coal,2038,3.40284376144409
East_Inner_Mongolia,Coal,2043,3.55386662483215
East_Inner_Mongolia,Coal,2048,3.70488948822022
East_Inner_Mongolia,Uranium,2023,0.9
East_Inner_Mongolia,Uranium,2028,0.979999995231628
East_Inner_Mongolia,Uranium,2033,1.05999999046326
East_Inner_Mongolia,Uranium,2038,1.13999998569489
East_Inner_Mongolia,Uranium,2043,1.22000002861023
East_Inner_Mongolia,Uranium,2048,1.3
Fujian,Coal,2023,6.06477098464966
Fujian,Coal,2028,6.37515745162964
Fujian,Coal,2033,6.69376716613769
Fujian,Coal,2038,7.00042839050293
Fujian,Coal,2043,7.30774202346802
Fujian,Coal,2048,7.61505575180054
Fujian,Uranium,2023,0.9
Fujian,Uranium,2028,0.979999995231628
Fujian,Uranium,2033,1.05999999046326
Fujian,Uranium,2038,1.13999998569489
Fujian,Uranium,2043,1.22000002861023
Fujian,Uranium,2048,1.3
Gansu,Coal,2023,3.78001761436462
Gansu,Coal,2028,3.97320418357849
Gansu,Coal,2033,4.17172613143921
Gansu,Coal,2038,4.36178417205811
Gansu,Coal,2043,4.55286741256714
Gansu,Coal,2048,4.74395084381104
Gansu,Uranium,2023,0.9
Gansu,Uranium,2028,0.979999995231628
Gansu,Uranium,2033,1.05999999046326
Gansu,Uranium,2038,1.13999998569489
Gansu,Uranium,2043,1.22000002861023
Gansu,Uranium,2048,1.3
Guangdong,Coal,2023,6.49106941223144
Guangdong,Coal,2028,6.81948661804199
Guangdong,Coal,2033,7.16571702957153
Guangdong,Coal,2038,7.50233345031738
Guangdong,Coal,2043,7.83465051651001
Guangdong,Coal,2048,8.16696739196777
Guangdong,Uranium,2023,0.9
Guangdong,Uranium,2028,0.979999995231628
Guangdong,Uranium,2033,1.05999999046326
Guangdong,Uranium,2038,1.13999998569489
Guangdong,Uranium,2043,1.22000002861023
Guangdong,Uranium,2048,1.3
Guangxi,Coal,2023,6.49106941223144
Guangxi,Coal,2028,6.81948661804199
Guangxi,Coal,2033,7.16571702957153
Guangxi,Coal,2038,7.50233345031738
Guangxi,Coal,2043,7.83465051651001
Guangxi,Coal,2048,8.16696739196777
Guangxi,Uranium,2023,0.9
Guangxi,Uranium,2028,0.979999995231628
Guangxi,Uranium,2033,1.05999999046326
Guangxi,Uranium,2038,1.13999998569489
Guangxi,Uranium,2043,1.22000002861023
Guangxi,Uranium,2048,1.3
Guizhou,Coal,2023,6.49106941223144
Guizhou,Coal,2028,6.81948661804199
Guizhou,Coal,2033,7.16571702957153
Guizhou,Coal,2038,7.50233345031738
Guizhou,Coal,2043,7.83465051651001
Guizhou,Coal,2048,8.16696739196777
Guizhou,Uranium,2023,0.9
Guizhou,Uranium,2028,0.979999995231628
Guizhou,Uranium,2033,1.05999999046326
Guizhou,Uranium,2038,1.13999998569489
Guizhou,Uranium,2043,1.22000002861023
Guizhou,Uranium,2048,1.3
Hainan,Coal,2023,6.49106941223144
Hainan,Coal,2028,6.81948661804199
Hainan,Coal,2033,7.16571702957153
Hainan,Coal,2038,7.50233345031738
Hainan,Coal,2043,7.83465051651001
Hainan,Coal,2048,8.16696739196777
Hainan,Uranium,2023,0.9
Hainan,Uranium,2028,0.979999995231628
Hainan,Uranium,2033,1.05999999046326
Hainan,Uranium,2038,1.13999998569489
Hainan,Uranium,2043,1.22000002861023
Hainan,Uranium,2048,1.3
Hebei,Coal,2023,5.18384008407593
Hebei,Coal,2028,5.44657392501831
Hebei,Coal,2033,5.72567090988159
Hebei,Coal,2038,6.00176038742065
Hebei,Coal,2043,6.27003574371338
Hebei,Coal,2048,6.5383111000061
Hebei,Uranium,2023,0.9
Hebei,Uranium,2028,0.979999995231628
Hebei,Uranium,2033,1.05999999046326
Hebei,Uranium,2038,1.13999998569489
Hebei,Uranium,2043,1.22000002861023
Hebei,Uranium,2048,1.3
Heilongjiang,Coal,2023,4.44715518951416
Heilongjiang,Coal,2028,4.67382764816284
Heilongjiang,Coal,2033,4.9115047454834
Heilongjiang,Coal,2038,5.14226484298706
Heilongjiang,Coal,2043,5.3701455116272
Heilongjiang,Coal,2048,5.59802627563477
Heilongjiang,Uranium,2023,0.9
Heilongjiang,Uranium,2028,0.979999995231628
Heilongjiang,Uranium,2033,1.05999999046326
Heilongjiang,Uranium,2038,1.13999998569489
Heilongjiang,Uranium,2043,1.22000002861023
Heilongjiang,Uranium,2048,1.3
Henan,Coal,2023,5.11300506591797
Henan,Coal,2028,5.37445087432861
Henan,Coal,2033,5.64784784317017
Henan,Coal,2038,5.91613817214966
Henan,Coal,2043,6.17904710769653
Henan,Coal,2048,6.44195642471314
Henan,Uranium,2023,0.9
Henan,Uranium,2028,0.979999995231628
Henan,Uranium,2033,1.05999999046326
Henan,Uranium,2038,1.13999998569489
Henan,Uranium,2043,1.22000002861023
Henan,Uranium,2048,1.3
Hubei,Coal,2023,4.63261451721191
Hubei,Coal,2028,4.86958990097046
Hubei,Coal,2033,5.11499433517456
Hubei,Coal,2038,5.35043506622314
Hubei,Coal,2043,5.58592300415039
Hubei,Coal,2048,5.82141094207764
Hubei,Uranium,2023,0.9
Hubei,Uranium,2028,0.979999995231628
Hubei,Uranium,2033,1.05999999046326
Hubei,Uranium,2038,1.13999998569489
Hubei,Uranium,2043,1.22000002861023
Hubei,Uranium,2048,1.3
Hunan,Coal,2023,4.95587997436523
Hunan,Coal,2028,5.2095983505249
Hunan,Coal,2033,5.47025127410889
Hunan,Coal,2038,5.72169351577759
Hunan,Coal,2043,5.97312307357788
Hunan,Coal,2048,6.22455263137817
Hunan,Uranium,2023,0.9
Hunan,Uranium,2028,0.979999995231628
Hunan,Uranium,2033,1.05999999046326
Hunan,Uranium,2038,1.13999998569489
Hunan,Uranium,2043,1.22000002861023
Hunan,Uranium,2048,1.3
Jiangsu,Coal,2023,6.06477098464966
Jiangsu,Coal,2028,6.37515745162964
Jiangsu,Coal,2033,6.69376716613769
Jiangsu,Coal,2038,7.00042839050293
Jiangsu,Coal,2043,7.30774202346802
Jiangsu,Coal,2048,7.61505575180054
Jiangsu,Uranium,2023,0.9
Jiangsu,Uranium,2028,0.979999995231628
Jiangsu,Uranium,2033,1.05999999046326
Jiangsu,Uranium,2038,1.13999998569489
Jiangsu,Uranium,2043,1.22000002861023
Jiangsu,Uranium,2048,1.3
Jiangxi,Coal,2023,4.95587997436523
Jiangxi,Coal,2028,5.2095983505249
Jiangxi,Coal,2033,5.47025127410889
Jiangxi,Coal,2038,5.72169351577759
Jiangxi,Coal,2043,5.97312307357788
Jiangxi,Coal,2048,6.22455263137817
Jiangxi,Uranium,2023,0.9
Jiangxi,Uranium,2028,0.979999995231628
Jiangxi,Uranium,2033,1.05999999046326
Jiangxi,Uranium,2038,1.13999998569489
Jiangxi,Uranium,2043,1.22000002861023
Jiangxi,Uranium,2048,1.3
Jilin,Coal,2023,3.30477857589722
Jilin,Coal,2028,3.47349486351013
Jilin,Coal,2033,3.65161914825439
Jilin,Coal,2038,3.82637872695923
Jilin,Coal,2043,3.99699931144714
Jilin,Coal,2048,4.16762008666992
Jilin,Uranium,2023,0.9
Jilin,Uranium,2028,0.979999995231628
Jilin,Uranium,2033,1.05999999046326
Jilin,Uranium,2038,1.13999998569489
Jilin,Uranium,2043,1.22000002861023
Jilin,Uranium,2048,1.3
Liaoning,Coal,2023,3.54948163032532
Liaoning,Coal,2028,3.731077003479
Liaoning,Coal,2033,3.92708129882813
Liaoning,Coal,2038,4.12424411773682
Liaoning,Coal,2043,4.3115532875061
Liaoning,Coal,2048,4.49886255264282
Liaoning,Uranium,2023,0.9
Liaoning,Uranium,2028,0.979999995231628
Liaoning,Uranium,2033,1.05999999046326
Liaoning,Uranium,2038,1.13999998569489
Liaoning,Uranium,2043,1.22000002861023
Liaoning,Uranium,2048,1.3
Ningxia,Coal,2023,3.34856753349304
Ningxia,Coal,2028,3.52114753723145
Ningxia,Coal,2033,3.69741334915161
Ningxia,Coal,2038,3.87031807899475
Ningxia,Coal,2043,4.04135150909424
Ningxia,Coal,2048,4.21238498687744
Ningxia,Uranium,2023,0.9
Ningxia,Uranium,2028,0.979999995231628
Ningxia,Uranium,2033,1.05999999046326
Ningxia,Uranium,2038,1.13999998569489
Ningxia,Uranium,2043,1.22000002861023
Ningxia,Uranium,2048,1.3
Qinghai,Coal,2023,3.25197424888611
Qinghai,Coal,2028,3.41940259933472
Qinghai,Coal,2033,3.5934157371521
Qinghai,Coal,2038,3.76604294776917
Qinghai,Coal,2043,3.93414754867554
Qinghai,Coal,2048,4.10225210189819
Qinghai,Uranium,2023,0.9
Qinghai,Uranium,2028,0.979999995231628
Qinghai,Uranium,2033,1.05999999046326
Qinghai,Uranium,2038,1.13999998569489
Qinghai,Uranium,2043,1.22000002861023
Qinghai,Uranium,2048,1.3
Shaanxi,Coal,2023,3.30477857589722
Shaanxi,Coal,2028,3.47349486351013
Shaanxi,Coal,2033,3.64840407371521
Shaanxi,Coal,2038,3.81640100479126
Shaanxi,Coal,2043,3.98425006866455
Shaanxi,Coal,2048,4.15209913253784
Shaanxi,Uranium,2023,0.9
Shaanxi,Uranium,2028,0.979999995231628
Shaanxi,Uranium,2033,1.05999999046326
Shaanxi,Uranium,2038,1.13999998569489
Shaanxi,Uranium,2043,1.22000002861023
Shaanxi,Uranium,2048,1.3
Shandong,Coal,2023,5.18384008407593
Shandong,Coal,2028,5.44657392501831
Shandong,Coal,2033,5.72567090988159
Shandong,Coal,2038,6.00176038742065
Shandong,Coal,2043,6.27003574371338
Shandong,Coal,2048,6.5383111000061
Shandong,Uranium,2023,0.9
Shandong,Uranium,2028,0.979999995231628
Shandong,Uranium,2033,1.05999999046326
Shandong,Uranium,2038,1.13999998569489
Shandong,Uranium,2043,1.22000002861023
Shandong,Uranium,2048,1.3
Shanghai,Coal,2023,6.06477098464966
Shanghai,Coal,2028,6.37515745162964
Shanghai,Coal,2033,6.69376716613769
Shanghai,Coal,2038,7.00042839050293
Shanghai,Coal,2043,7.30774202346802
Shanghai,Coal,2048,7.61505575180054
Shanghai,Uranium,2023,0.9
Shanghai,Uranium,2028,0.979999995231628
Shanghai,Uranium,2033,1.05999999046326
Shanghai,Uranium,2038,1.13999998569489
Shanghai,Uranium,2043,1.22000002861023
Shanghai,Uranium,2048,1.3
Shanxi,Coal,2023,4.436851978302
Shanxi,Coal,2028,4.66352415084839
Shanxi,Coal,2033,4.8971489906311
Shanxi,Coal,2038,5.1199426651001
Shanxi,Coal,2043,5.34420642852783
