GENERATION_PROJECT,build_year,build_gen_predetermined,gen_can_retire_early
Zhejiang-EP_Coal_300_SEA-ep-1094,2001,330,1
Zhejiang-EP_Coal_300_SEA-ep-1095,2005,330,1
Zhejiang-EP_Coal_300_RC-ep-1097,2006,300,1
Zhejiang-EP_Coal_300_RC-ep-1098,2005,300,1
Zhejiang-EP_Coal_300_RC-ep-1099,2003,300,1
Zhejiang-EP_Coal_300_RC-ep-1100,2002,300,1
Zhejiang-EP_Coal_300_RC-ep-1101,2011,300,1
Zhejiang-EP_Coal_300_RC-ep-1102,2011,300,1
Zhejiang-EP_Coal_300_SEA-ep-1103,2010,300,1
Zhejiang-EP_Coal_300_OT-ep-1104,2007,300,1
Zhejiang-EP_Coal_300_OT-ep-1105,2008,300,1
Zhejiang-EP_Gas_CCGT_OT-ep-1106,2011,300,1
Zhejiang-EP_Coal_300_SEA-ep-1107,2005,300,1
Zhejiang-EP_Gas_CCGT_RC-ep-1108,2014,246,1
Zhejiang-EP_Gas_CCGT_RC-ep-1109,2014,229.2,1
Zhejiang-EP_Gas_CCGT_RC-ep-1110,2014,229.2,1
Zhejiang-Coal_100_OT-ep-1111,1990,215,1
Zhejiang-Coal_100_OT-ep-1112,1989,215,1
Zhejiang-Coal_100_OT-ep-1113,1986,215,1
Zhejiang-Coal_100_OT-ep-1114,1985,215,1
Zhejiang-EP_Gas_CCGT_RC-ep-1115,2015,202.5,1
Zhejiang-EP_Gas_CCGT_RC-ep-1116,2015,202.5,1
Zhejiang-Coal_Small_SEA-ep-1117,1990,195,1
Zhejiang-EP_Gas_CCGT_RC-ep-1118,2015,186.25,1
Zhejiang-EP_Gas_CCGT_RC-ep-1119,2014,158,1
Zhejiang-Coal_100_SEA-ep-1120,2006,149,1
Zhejiang-Coal_100_SEA-ep-1121,2005,149,1
Zhejiang-Coal_100_SEA-ep-1122,2004,149,1
Zhejiang-Coal_Small_OT-ep-1123,1990,136,1
Zhejiang-Coal_100_RC-ep-1124,1996,135,1
Zhejiang-Coal_100_RC-ep-1125,2006,135,1
Zhejiang-Coal_100_SEA-ep-1126,2004,135,1
Zhejiang-Coal_100_RC-ep-1127,1984,130,1
Zhejiang-Coal_100_RC-ep-1128,1994,130,1
Zhejiang-Coal_100_RC-ep-1129,1993,130,1
Zhejiang-Coal_100_SEA-ep-1130,1997,125,1
Zhejiang-Coal_100_OT-ep-1131,1988,125,1
Zhejiang-Coal_100_OT-ep-1132,1987,125,1
Zhejiang-Coal_100_OT-ep-1133,1985,125,1
Zhejiang-Coal_100_OT-ep-1134,1985,125,1
Zhejiang-Coal_100_OT-ep-1135,1983,125,1
Zhejiang-Coal_100_OT-ep-1136,1982,125,1
Zhejiang-Coal_Small_RC-ep-1137,1990,123.5,1
Zhejiang-EP_Gas_CCGT_RC-ep-1138,2013,120,1
Zhejiang-EP_Gas_CCGT_RC-ep-1139,2013,120,1
Zhejiang-EP_Gas_CCGT_RC-ep-1140,2015,115,1
Zhejiang-EP_Gas_CCGT_RC-ep-1141,2014,115,1
Zhejiang-EP_Gas_CCGT_RC-ep-1142,2006,112,1
Zhejiang-EP_Gas_CCGT_RC-ep-1143,2004,100,1
Zhejiang-EP_Gas_CCGT_RC-ep-1144,2008,88.5,1
Zhejiang-EP_Gas_CCGT_RC-ep-1145,2006,75,1
Zhejiang-Coal_Small_OT-ep-1146,1990,66,1
Zhejiang-EP_Gas_CCGT_RC-ep-1147,2015,54.6,1
Zhejiang-EP_Gas_CCGT_RC-ep-1148,2006,52.14,1
Anhui-EP_Coal_1000_RC-ep-1152,2011,1050,1
Anhui-EP_Coal_1000_RC-ep-1153,2015,1000,1
Anhui-EP_Coal_1000_RC-ep-1154,2015,1000,1
Anhui-EP_Coal_1000_RC-ep-1155,2015,1000,1
Anhui-EP_Coal_1000_RC-ep-1156,2015,1000,1
Anhui-Coal_Small_RC-ep-1157,1990,974.6,1
Anhui-EP_Coal_600_RC-ep-1158,2015,660,1
Anhui-EP_Coal_600_RC-ep-1159,2013,660,1
Anhui-EP_Coal_600_RC-ep-1160,2013,660,1
Anhui-EP_Coal_600_RC-ep-1161,2014,660,1
Anhui-EP_Coal_600_RC-ep-1162,2013,660,1
Anhui-EP_Coal_600_RC-ep-1163,2014,660,1
Anhui-EP_Coal_600_RC-ep-1164,2013,660,1
Anhui-EP_Coal_600_RC-ep-1165,2014,660,1
Anhui-EP_Coal_600_RC-ep-1166,2014,660,1
Anhui-EP_Coal_600_RC-ep-1167,2015,660,1
Anhui-EP_Coal_600_OT-ep-1168,2008,660,1
Anhui-EP_Coal_600_OT-ep-1169,2008,660,1
Anhui-EP_Coal_600_OT-ep-1170,2008,660,1
Anhui-EP_Coal_600_OT-ep-1171,2008,660,1
Anhui-EP_Coal_600_OT-ep-1172,2012,660,1
Anhui-EP_Coal_600_OT-ep-1173,2012,660,1
Anhui-EP_Coal_600_OT-ep-1174,2011,660,1
Anhui-EP_Coal_600_OT-ep-1175,2010,660,1
Anhui-EP_Coal_600_RC-ep-1176,2006,640,1
Anhui-EP_Coal_600_RC-ep-1177,2006,640,1
Anhui-EP_Coal_600_RC-ep-1178,2007,640,1
Anhui-EP_Coal_600_RC-ep-1179,2007,640,1
Anhui-EP_Coal_600_RC-ep-1180,2007,640,1
Anhui-EP_Coal_600_RC-ep-1181,2007,640,1
Anhui-EP_Coal_600_RC-ep-1182,2007,630,1
Anhui-EP_Coal_600_RC-ep-1183,2007,630,1
Anhui-EP_Coal_600_RC-ep-1184,2007,630,1
Anhui-EP_Coal_600_RC-ep-1185,2007,630,1
Anhui-EP_Coal_600_RC-ep-1186,2009,630,1
Anhui-EP_Coal_600_RC-ep-1187,2008,630,1
Anhui-EP_Coal_600_RC-ep-1188,2007,630,1
Anhui-EP_Coal_600_RC-ep-1189,2007,630,1
Anhui-EP_Coal_600_RC-ep-1190,2008,630,1
Anhui-EP_Coal_600_RC-ep-1191,2008,630,1
Anhui-EP_Coal_600_RC-ep-1192,1990,630,1
Anhui-EP_Coal_600_RC-ep-1193,1990,630,1
Anhui-EP_Coal_600_OT-ep-1194,2008,630,1
Anhui-EP_Coal_600_OT-ep-1195,2008,630,1
Anhui-EP_Coal_600_RC-ep-1196,2008,600,1
Anhui-EP_Coal_600_RC-ep-1197,2008,600,1
Anhui-EP_Coal_600_RC-ep-1198,2008,600,1
Anhui-Coal_Small_RC-ep-1199,1990,517.35,1
Anhui-EP_Coal_300_RC-ep-1200,2012,350,1
Anhui-EP_Coal_300_RC-ep-1201,2012,350,1
Anhui-EP_Coal_300_RC-ep-1202,2001,350,1
Anhui-EP_Coal_300_RC-ep-1203,2000,350,1
Anhui-EP_Coal_300_RC-ep-1204,2012,330,1
Anhui-EP_Coal_300_RC-ep-1205,2011,330,1
Anhui-EP_Coal_300_OT-ep-1206,2006,330,1
Anhui-EP_Coal_300_OT-ep-1207,2006,330,1
Anhui-EP_Coal_300_OT-ep-1208,1996,330,1
Anhui-EP_Coal_300_OT-ep-1209,1996,330,1
Anhui-EP_Coal_300_RC-ep-1210,1986,320,1
Anhui-EP_Coal_300_RC-ep-1211,1986,320,1
Anhui-EP_Coal_300_RC-ep-1212,2000,320,1
Anhui-EP_Coal_300_RC-ep-1213,2000,320,1
Anhui-EP_Coal_300_RC-ep-1214,2009,320,1
Anhui-EP_Coal_300_RC-ep-1215,2009,320,1
Anhui-EP_Coal_300_RC-ep-1216,1990,320,1
Anhui-EP_Coal_300_RC-ep-1217,1990,320,1
Anhui-EP_Coal_300_OT-ep-1218,2005,320,1
Anhui-EP_Coal_300_OT-ep-1219,2005,320,1
Anhui-EP_Coal_300_OT-ep-1220,2005,320,1
Anhui-EP_Coal_300_OT-ep-1221,2005,320,1
Anhui-EP_Coal_300_RC-ep-1222,2005,300,1
Anhui-EP_Coal_300_RC-ep-1223,1996,300,1
Anhui-EP_Coal_300_RC-ep-1224,2012,300,1
Anhui-EP_Coal_300_RC-ep-1225,2012,300,1
Anhui-EP_Coal_300_RC-ep-1226,1999,300,1
Anhui-EP_Coal_300_RC-ep-1227,1999,300,1
Anhui-EP_Coal_300_RC-ep-1228,2013,300,1
Anhui-EP_Coal_300_RC-ep-1229,2013,300,1
Anhui-Coal_100_RC-ep-1231,2005,210,1
Anhui-Coal_Small_RC-ep-1232,1990,170,1
Anhui-Coal_100_RC-ep-1233,2009,135,1
Anhui-Coal_100_RC-ep-1234,2009,135,1
Anhui-Coal_100_RC-ep-1235,2008,135,1
Anhui-Coal_100_RC-ep-1236,2007,135,1
Anhui-Coal_100_RC-ep-1237,2006,135,1
Anhui-Coal_100_RC-ep-1238,2005,135,1
Anhui-Coal_100_RC-ep-1239,1990,135,1
Anhui-Coal_100_RC-ep-1241,1990,111,1
Anhui-Coal_Small_RC-ep-1242,1990,30,1
Fujian-EP_Coal_1000_SEA-ep-1246,2015,1000,1
Fujian-EP_Coal_1000_SEA-ep-1247,2015,1000,1
Fujian-Coal_Small_RC-ep-1248,1990,692,1
Fujian-EP_Coal_600_SEA-ep-1249,2012,670,1
Fujian-EP_Coal_600_SEA-ep-1250,2011,670,1
Fujian-EP_Coal_600_SEA-ep-1251,2009,660,1
Fujian-EP_Coal_600_SEA-ep-1252,2009,660,1
Fujian-EP_Coal_600_OT-ep-1253,2010,660,1
Fujian-EP_Coal_600_OT-ep-1254,2010,660,1
Fujian-EP_Coal_600_SEA-ep-1255,2006,600,1
Fujian-EP_Coal_600_SEA-ep-1256,2006,600,1
Fujian-EP_Coal_600_SEA-ep-1257,2008,600,1
Fujian-EP_Coal_600_SEA-ep-1258,2008,600,1
Fujian-EP_Coal_600_SEA-ep-1259,2006,600,1
Fujian-EP_Coal_600_SEA-ep-1260,2006,600,1
Fujian-EP_Coal_600_SEA-ep-1261,2011,600,1
Fujian-EP_Coal_600_SEA-ep-1262,2011,600,1
Fujian-EP_Coal_600_SEA-ep-1263,2007,600,1
Fujian-EP_Coal_600_SEA-ep-1264,2007,600,1
Fujian-EP_Coal_600_SEA-ep-1265,2008,600,1
Fujian-EP_Coal_600_SEA-ep-1266,2004,600,1
Fujian-EP_Coal_600_SEA-ep-1267,2003,600,1
Fujian-EP_Coal_600_SEA-ep-1268,2002,600,1
Fujian-EP_Coal_600_SEA-ep-1269,2001,600,1
Fujian-EP_Coal_600_SEA-ep-1270,2000,600,1
Fujian-EP_Coal_600_SEA-ep-1271,1999,600,1
Fujian-EP_Coal_300_SEA-ep-1272,2001,396,1
Fujian-EP_Coal_300_SEA-ep-1273,2000,396,1
Fujian-EP_Gas_CCGT_SEA-ep-1274,2010,393,1
Fujian-EP_Gas_CCGT_SEA-ep-1275,2009,393,1
Fujian-EP_Gas_CCGT_SEA-ep-1276,2010,386,1
Fujian-EP_Gas_CCGT_SEA-ep-1277,2010,386,1
Fujian-EP_Gas_CCGT_SEA-ep-1278,2009,386,1
Fujian-EP_Gas_CCGT_SEA-ep-1279,2008,386,1
Fujian-EP_Gas_CCGT_SEA-ep-1280,2010,382,1
Fujian-EP_Gas_CCGT_SEA-ep-1281,2010,382,1
Fujian-EP_Gas_CCGT_SEA-ep-1282,2008,382,1
Fujian-EP_Gas_CCGT_SEA-ep-1283,2008,382,1
Fujian-EP_Gas_CCGT_RC-ep-1284,2008,362,1
Fujian-EP_Coal_300_OT-ep-1285,1999,350,1
Fujian-EP_Coal_300_OT-ep-1286,1999,350,1
Fujian-EP_Coal_300_OT-ep-1287,1988,350,1
Fujian-EP_Coal_300_OT-ep-1288,1988,350,1
Fujian-Coal_Small_RC-ep-1289,1990,312,1
Fujian-EP_Coal_300_RC-ep-1290,2011,300,1
Fujian-EP_Coal_300_RC-ep-1291,2011,300,1
Fujian-EP_Coal_300_SEA-ep-1292,2006,300,1
Fujian-EP_Coal_300_SEA-ep-1293,2005,300,1
Fujian-EP_Coal_300_SEA-ep-1294,2007,300,1
Fujian-EP_Coal_300_SEA-ep-1295,2006,300,1
Fujian-EP_Coal_300_SEA-ep-1296,1996,300,1
Fujian-EP_Coal_300_SEA-ep-1297,1995,300,1
Fujian-EP_Coal_300_RC-ep-1298,2012,300,1
Fujian-EP_Coal_300_RC-ep-1299,2011,300,1
Fujian-EP_Coal_300_RC-ep-1300,2010,300,1
Fujian-EP_Coal_300_RC-ep-1301,2009,300,1
Fujian-Coal_100_RC-ep-1302,2006,135,1
Fujian-Coal_100_RC-ep-1303,2006,135,1
Fujian-Coal_100_RC-ep-1304,2006,135,1
Fujian-Coal_100_RC-ep-1305,2005,135,1
Fujian-Coal_100_RC-ep-1306,1990,110,1
Fujian-Coal_100_RC-ep-1307,2005,100,1
Fujian-Coal_Small_SEA-ep-1309,1990,50,1
Jiangxi-EP_Coal_1000_RC-ep-1310,2015,1000,1
Jiangxi-EP_Coal_600_RC-ep-1311,2010,700,1
Jiangxi-EP_Coal_600_RC-ep-1312,2009,700,1
Jiangxi-EP_Coal_600_OT-ep-1313,2007,700,1
Jiangxi-EP_Coal_600_OT-ep-1314,2006,700,1
Jiangxi-EP_Coal_600_RC-ep-1315,2015,660,1
Jiangxi-EP_Coal_600_RC-ep-1316,2015,660,1
Jiangxi-EP_Coal_600_RC-ep-1317,2009,660,1
Jiangxi-EP_Coal_600_RC-ep-1318,2009,660,1
Jiangxi-EP_Coal_600_RC-ep-1319,2011,660,1
Jiangxi-EP_Coal_600_RC-ep-1320,2010,660,1
Jiangxi-EP_Coal_600_RC-ep-1321,2012,660,1
Jiangxi-EP_Coal_600_RC-ep-1322,2012,640,1
Jiangxi-EP_Coal_600_RC-ep-1323,2011,640,1
Jiangxi-EP_Coal_600_RC-ep-1324,2007,600,1
Jiangxi-EP_Coal_600_RC-ep-1325,2007,600,1
Jiangxi-EP_Coal_300_RC-ep-1326,2008,350,1
Jiangxi-EP_Coal_300_RC-ep-1327,2008,350,1
Jiangxi-EP_Coal_300_OT-ep-1328,2003,350,1
Jiangxi-EP_Coal_300_OT-ep-1329,2002,350,1
Jiangxi-EP_Coal_300_OT-ep-1330,2000,340,1
Jiangxi-EP_Coal_300_OT-ep-1331,1997,340,1
Jiangxi-EP_Coal_300_OT-ep-1332,1997,340,1
Jiangxi-EP_Coal_300_OT-ep-1333,1996,340,1
Jiangxi-EP_Coal_300_RC-ep-1334,2009,330,1
Jiangxi-EP_Coal_300_RC-ep-1335,2006,300,1
Jiangxi-EP_Coal_300_RC-ep-1336,2005,300,1
Jiangxi-EP_Coal_300_OT-ep-1337,2001,300,1
Jiangxi-EP_Coal_300_OT-ep-1338,2000,300,1
Jiangxi-Coal_Small_RC-ep-1339,1990,293.5,1
Jiangxi-Coal_100_RC-ep-1340,1996,220,1
Jiangxi-Coal_100_RC-ep-1341,1995,220,1
Jiangxi-Coal_100_OT-ep-1342,2006,210,1
Jiangxi-Coal_Small_OT-ep-1344,1990,155,1
Jiangxi-EP_Gas_CCGT_RC-ep-1345,1990,87,1
Jiangxi-Coal_Small_RC-ep-1346,1990,75,1
Shandong-Coal_Small_RC-ep-1347,1990,4830.02,1
Shandong-Coal_Small_RC-ep-1348,1990,2721.5,1
Shandong-Coal_Small_RC-ep-1349,1990,1427,1
Shandong-EP_Coal_1000_RC-ep-1350,2015,1000,1
Shandong-EP_Coal_1000_RC-ep-1351,2007,1000,1
Shandong-EP_Coal_1000_RC-ep-1352,2006,1000,1
Shandong-EP_Coal_1000_SEA-ep-1353,2012,1000,1
Shandong-EP_Coal_1000_SEA-ep-1354,2012,1000,1
Shandong-Coal_Small_RC-ep-1355,1990,910.5,1
Shandong-EP_Coal_600_RC-ep-1356,2002,700,1
Shandong-EP_Coal_600_RC-ep-1357,2002,700,1
Shandong-EP_Coal_600_SEA-ep-1358,2008,680,1
Shandong-EP_Coal_600_SEA-ep-1359,2008,680,1
Shandong-EP_Coal_600_SEA-ep-1360,2011,680,1
Shandong-EP_Coal_600_SEA-ep-1361,2010,680,1
Shandong-EP_Coal_600_SEA-ep-1362,2007,670,1
Shandong-EP_Coal_600_SEA-ep-1363,2006,670,1
Shandong-EP_Coal_600_RC-ep-1364,2007,670,1
Shandong-EP_Coal_600_RC-ep-1365,2006,670,1
Shandong-EP_Coal_600_RC-ep-1366,2007,650,1
Shandong-EP_Coal_600_RC-ep-1367,2007,650,1
Shandong-EP_Coal_600_RC-ep-1368,2009,600,1
Shandong-EP_Coal_600_RC-ep-1369,2009,600,1
Shandong-EP_Coal_600_RC-ep-1370,2003,600,1
Shandong-EP_Coal_600_RC-ep-1371,2002,600,1
Shandong-EP_Coal_600_RC-ep-1372,1997,600,1
Shandong-EP_Coal_600_RC-ep-1373,1997,600,1
Shandong-EP_Coal_600_RC-ep-1374,2011,600,1
Shandong-EP_Coal_600_RC-ep-1375,2011,600,1
Shandong-EP_Coal_300_RC-ep-1376,2015,350,1
Shandong-EP_Coal_300_RC-ep-1377,2015,350,1
Shandong-EP_Coal_300_RC-ep-1378,2011,350,1
Shandong-EP_Coal_300_RC-ep-1379,2011,350,1
Shandong-EP_Coal_300_RC-ep-1380,2015,350,1
Shandong-EP_Coal_300_RC-ep-1381,2015,350,1
Shandong-EP_Coal_300_RC-ep-1382,2009,350,1
Shandong-EP_Coal_300_RC-ep-1383,2009,350,1
Shandong-EP_Coal_300_RC-ep-1384,2013,350,1
Shandong-EP_Coal_300_RC-ep-1385,2012,350,1
Shandong-EP_Coal_300_SEA-ep-1386,2000,350,1
Shandong-EP_Coal_300_SEA-ep-1387,1999,350,1
Shandong-EP_Coal_300_RC-ep-1388,2013,350,1
Shandong-EP_Coal_300_RC-ep-1389,2014,350,1
Shandong-EP_Coal_300_RC-ep-1390,1989,335,1
Shandong-EP_Coal_300_RC-ep-1391,1988,335,1
Shandong-EP_Coal_300_RC-ep-1392,1986,335,1
Shandong-EP_Coal_300_RC-ep-1393,1985,335,1
Shandong-EP_Coal_300_RC-ep-1394,1990,332,1
Shandong-EP_Coal_300_RC-ep-1395,2006,330,1
Shandong-EP_Coal_300_RC-ep-1396,2006,330,1
Shandong-EP_Coal_300_RC-ep-1397,2009,330,1
Shandong-EP_Coal_300_RC-ep-1398,2009,330,1
Shandong-EP_Coal_300_RC-ep-1399,1994,330,1
Shandong-EP_Coal_300_RC-ep-1400,1993,330,1
Shandong-EP_Coal_300_RC-ep-1401,1991,330,1
Shandong-EP_Coal_300_RC-ep-1402,2007,330,1
Shandong-EP_Coal_300_RC-ep-1403,2007,330,1
Shandong-EP_Coal_300_RC-ep-1404,1990,330,1
Shandong-EP_Coal_300_RC-ep-1405,1987,330,1
Shandong-EP_Coal_300_RC-ep-1406,2009,330,1
Shandong-EP_Coal_300_RC-ep-1407,2009,330,1
Shandong-EP_Coal_300_RC-ep-1408,2006,330,1
Shandong-EP_Coal_300_RC-ep-1409,2006,330,1
Shandong-EP_Coal_300_RC-ep-1410,1996,330,1
Shandong-EP_Coal_300_RC-ep-1411,2006,330,1
Shandong-EP_Coal_300_RC-ep-1412,2006,330,1
Shandong-EP_Coal_300_RC-ep-1413,2007,330,1
Shandong-EP_Coal_300_RC-ep-1414,2007,330,1
Shandong-EP_Coal_300_RC-ep-1415,1994,330,1
Shandong-EP_Coal_300_RC-ep-1416,1993,330,1
Shandong-EP_Coal_300_RC-ep-1417,2013,330,1
Shandong-EP_Coal_300_RC-ep-1418,2012,330,1
Shandong-EP_Coal_300_RC-ep-1419,1990,330,1
Shandong-EP_Coal_300_RC-ep-1420,1990,330,1
Shandong-EP_Coal_300_RC-ep-1421,1990,330,1
Shandong-EP_Coal_300_RC-ep-1422,1991,320,1
Shandong-EP_Coal_300_SEA-ep-1423,1998,320,1
Shandong-EP_Coal_300_SEA-ep-1424,1998,320,1
Shandong-EP_Coal_300_RC-ep-1425,1997,315,1
Shandong-EP_Coal_300_RC-ep-1426,1997,315,1
Shandong-EP_Coal_300_RC-ep-1427,1988,315,1
Shandong-EP_Coal_300_RC-ep-1428,1987,315,1
Shandong-EP_Coal_300_RC-ep-1429,2006,315,1
Shandong-EP_Coal_300_RC-ep-1430,2006,315,1
Shandong-EP_Coal_300_RC-ep-1431,2012,300,1
Shandong-EP_Coal_300_RC-ep-1432,2003,300,1
Shandong-EP_Coal_300_RC-ep-1433,2002,300,1
Shandong-EP_Coal_300_RC-ep-1434,1999,300,1
Shandong-EP_Coal_300_RC-ep-1435,2000,300,1
Shandong-EP_Coal_300_RC-ep-1436,2002,300,1
Shandong-EP_Coal_300_RC-ep-1437,2001,300,1
Shandong-EP_Coal_300_RC-ep-1438,1997,300,1
Shandong-EP_Coal_300_RC-ep-1439,2014,300,1
Shandong-EP_Coal_300_SEA-ep-1440,2006,300,1
Shandong-EP_Coal_300_SEA-ep-1441,2006,300,1
Shandong-EP_Coal_300_SEA-ep-1442,2006,300,1
Shandong-EP_Coal_300_SEA-ep-1443,2005,300,1
Shandong-EP_Coal_300_SEA-ep-1444,1996,300,1
Shandong-EP_Coal_300_SEA-ep-1445,1995,300,1
Shandong-EP_Coal_300_RC-ep-1446,2006,300,1
Shandong-EP_Coal_300_RC-ep-1447,2006,300,1
Shandong-EP_Coal_300_RC-ep-1448,2006,300,1
Shandong-EP_Coal_300_RC-ep-1449,2006,300,1
Shandong-EP_Coal_300_RC-ep-1450,2009,300,1
Shandong-EP_Coal_300_RC-ep-1451,2009,300,1
Shandong-EP_Coal_300_RC-ep-1452,2014,300,1
Shandong-EP_Coal_300_RC-ep-1453,2014,300,1
Shandong-EP_Coal_300_RC-ep-1454,2013,300,1
Shandong-EP_Coal_300_RC-ep-1455,2013,300,1
Shandong-EP_Coal_300_RC-ep-1456,2004,300,1
Shandong-EP_Coal_300_RC-ep-1457,2003,300,1
Shandong-EP_Coal_300_RC-ep-1458,2004,300,1
Shandong-EP_Coal_300_RC-ep-1459,2003,300,1
Shandong-EP_Coal_300_RC-ep-1460,1990,294,1
Shandong-Coal_Small_RC-ep-1461,1990,287,1
Shandong-Coal_100_RC-ep-1464,2006,225,1
Shandong-Coal_100_RC-ep-1465,2006,225,1
Shandong-Coal_100_SEA-ep-1466,1996,220,1
Shandong-Coal_100_SEA-ep-1467,1995,220,1
Shandong-Coal_100_SEA-ep-1468,1988,220,1
Shandong-Coal_100_SEA-ep-1469,1988,220,1
Shandong-Coal_100_RC-ep-1470,1990,220,1
Shandong-Coal_100_RC-ep-1471,1990,220,1
Shandong-Coal_100_RC-ep-1472,1993,220,1
Shandong-Coal_100_RC-ep-1473,1993,220,1
Shandong-Coal_Small_SEA-ep-1474,1990,211,1
Shandong-Coal_100_RC-ep-1475,2005,165,1
Shandong-Coal_100_RC-ep-1476,2005,165,1
Shandong-Coal_100_RC-ep-1477,1990,165,1
Shandong-Coal_100_RC-ep-1478,2006,160,1
Shandong-Coal_100_RC-ep-1479,2005,160,1
Shandong-Coal_100_RC-ep-1480,2005,160,1
Shandong-Coal_100_RC-ep-1481,2008,155,1
Shandong-Coal_100_RC-ep-1482,2006,155,1
Shandong-Coal_100_RC-ep-1483,2006,155,1
Shandong-Coal_100_RC-ep-1484,2005,155,1
Shandong-Coal_100_RC-ep-1485,2006,155,1
Shandong-Coal_100_RC-ep-1486,2005,155,1
Shandong-Coal_100_RC-ep-1487,2005,155,1
Shandong-Coal_100_RC-ep-1488,2007,155,1
Shandong-Coal_100_RC-ep-1489,2007,155,1
Shandong-Coal_100_RC-ep-1490,2007,155,1
Shandong-Coal_100_RC-ep-1491,2006,155,1
Shandong-Coal_100_RC-ep-1492,2007,155,1
Shandong-Coal_100_RC-ep-1493,2007,155,1
Shandong-Coal_100_RC-ep-1494,2007,155,1
Shandong-Coal_100_RC-ep-1495,2006,155,1
Shandong-Coal_100_RC-ep-1496,2007,155,1
Shandong-Coal_100_RC-ep-1497,2005,155,1
Shandong-Coal_100_RC-ep-1498,1990,155,1
Shandong-Coal_Small_RC-ep-1499,1990,150,1
Shandong-Coal_100_RC-ep-1500,2007,150,1
Shandong-Coal_100_RC-ep-1501,2007,150,1
Shandong-Coal_100_RC-ep-1502,2009,150,1
Shandong-Coal_100_RC-ep-1503,2009,150,1
Shandong-Coal_100_RC-ep-1504,2003,150,1
Shandong-Coal_100_RC-ep-1505,2003,150,1
Shandong-Coal_100_RC-ep-1506,1990,150,1
Shandong-Coal_100_RC-ep-1507,2014,150,1
Shandong-Coal_100_RC-ep-1508,2013,150,1
Shandong-Coal_100_RC-ep-1509,2014,150,1
Shandong-Coal_100_RC-ep-1510,2012,150,1
Shandong-Coal_100_RC-ep-1511,2014,150,1
Shandong-Coal_100_RC-ep-1512,2012,150,1
Shandong-Coal_100_RC-ep-1513,2004,145,1
Shandong-Coal_100_RC-ep-1514,2003,145,1
Shandong-Coal_100_RC-ep-1515,2001,145,1
Shandong-Coal_100_RC-ep-1516,2000,145,1
Shandong-Coal_100_RC-ep-1517,2004,145,1
Shandong-Coal_100_RC-ep-1518,2003,145,1
Shandong-Coal_100_RC-ep-1519,2000,145,1
Shandong-Coal_100_RC-ep-1520,2000,145,1
Shandong-Coal_100_RC-ep-1521,2002,145,1
Shandong-Coal_100_RC-ep-1522,2002,145,1
Shandong-Coal_100_RC-ep-1523,2003,145,1
Shandong-Coal_100_RC-ep-1524,2003,145,1
Shandong-Coal_100_RC-ep-1525,2003,145,1
Shandong-Coal_100_RC-ep-1526,2003,145,1
Shandong-Coal_100_RC-ep-1527,1983,140,1
Shandong-Coal_100_RC-ep-1528,2003,140,1
Shandong-Coal_100_RC-ep-1529,2003,140,1
Shandong-Coal_100_RC-ep-1530,1998,140,1
Shandong-Coal_100_RC-ep-1531,1997,140,1
Shandong-Coal_100_RC-ep-1532,2003,135,1
Shandong-Coal_100_RC-ep-1533,2003,135,1
Shandong-Coal_100_RC-ep-1534,2003,135,1
Shandong-Coal_100_RC-ep-1535,2003,135,1
Shandong-Coal_100_RC-ep-1536,1990,135,1
Shandong-Coal_100_RC-ep-1537,2004,135,1
Shandong-Coal_100_RC-ep-1538,2002,135,1
Shandong-Coal_100_RC-ep-1539,2002,135,1
Shandong-Coal_100_RC-ep-1540,2005,135,1
Shandong-Coal_100_RC-ep-1541,2005,135,1
Shandong-Coal_100_RC-ep-1542,1990,135,1
Shandong-Coal_100_RC-ep-1543,2004,125,1
Shandong-Coal_100_RC-ep-1544,2004,125,1
Shandong-Coal_100_RC-ep-1545,2001,125,1
Shandong-Coal_100_RC-ep-1546,1999,125,1
Shandong-Coal_100_RC-ep-1547,1992,125,1
Shandong-Coal_100_RC-ep-1548,1991,125,1
Shandong-Coal_100_RC-ep-1549,1990,120,1
Shandong-Coal_100_RC-ep-1550,1990,120,1
Shandong-Coal_100_RC-ep-1551,1996,110,1
Shandong-Coal_100_RC-ep-1552,1992,110,1
Shandong-Coal_100_RC-ep-1553,1997,100,1
Shandong-Coal_100_RC-ep-1554,1990,100,1
Shandong-Coal_100_SEA-ep-1555,1984,100,1
Henan-EP_Coal_1000_RC-ep-1559,2012,1000,1
Henan-EP_Coal_1000_RC-ep-1560,2012,1000,1
Henan-EP_Coal_1000_RC-ep-1561,2012,1000,1
Henan-EP_Coal_1000_RC-ep-1562,2012,1000,1
Henan-EP_Coal_1000_RC-ep-1563,2010,1000,1
Henan-EP_Coal_1000_RC-ep-1564,2010,1000,1
Henan-Coal_Small_RC-ep-1565,1990,767.5,1
Henan-Coal_Small_RC-ep-1566,1990,710,1
Henan-EP_Coal_600_RC-ep-1567,2007,660,1
Henan-EP_Coal_600_RC-ep-1568,2007,660,1
Henan-EP_Coal_600_RC-ep-1569,2015,660,1
Henan-EP_Coal_600_RC-ep-1570,2014,660,1
Henan-EP_Coal_600_RC-ep-1571,2015,660,1
Henan-EP_Coal_600_RC-ep-1572,2015,660,1
Henan-EP_Coal_600_RC-ep-1573,2013,660,1
Henan-EP_Coal_600_RC-ep-1574,2012,660,1
Henan-EP_Coal_600_RC-ep-1575,2009,660,1
