GENERATION_PROJECT,build_year,build_gen_predetermined,gen_can_retire_early
Hebei-EP_Coal_300_RC-ep-114,2009,300,1
Hebei-EP_Coal_300_RC-ep-115,2004,300,1
Hebei-EP_Coal_300_RC-ep-116,2004,300,1
Hebei-EP_Coal_300_DRY-ep-117,2015,300,1
Hebei-EP_Coal_300_DRY-ep-118,2015,300,1
Hebei-EP_Coal_300_RC-ep-119,2001,300,1
Hebei-EP_Coal_300_RC-ep-120,2000,300,1
Hebei-EP_Coal_300_RC-ep-121,1999,300,1
Hebei-EP_Coal_300_RC-ep-122,1999,300,1
Hebei-EP_Coal_300_RC-ep-123,1995,300,1
Hebei-EP_Coal_300_RC-ep-124,1994,300,1
Hebei-EP_Coal_300_RC-ep-125,1992,300,1
Hebei-EP_Coal_300_RC-ep-126,1991,300,1
Hebei-EP_Coal_300_RC-ep-127,2010,300,1
Hebei-EP_Coal_300_RC-ep-128,2009,300,1
Hebei-EP_Coal_300_RC-ep-129,2010,300,1
Hebei-EP_Coal_300_RC-ep-130,2010,300,1
Hebei-EP_Coal_300_RC-ep-131,2007,300,1
Hebei-EP_Coal_300_RC-ep-132,2007,300,1
Hebei-EP_Coal_300_DRY-ep-133,2013,300,1
Hebei-EP_Coal_300_DRY-ep-134,2012,300,1
Hebei-EP_Coal_300_RC-ep-135,2007,300,1
Hebei-EP_Coal_300_RC-ep-136,2007,300,1
Hebei-EP_Coal_300_RC-ep-137,2010,300,1
Hebei-EP_Coal_300_RC-ep-138,2010,300,1
Hebei-EP_Coal_300_RC-ep-139,2012,300,1
Hebei-EP_Coal_300_RC-ep-140,2012,300,1
Hebei-EP_Coal_300_RC-ep-141,2009,300,1
Hebei-EP_Coal_300_RC-ep-142,2009,300,1
Hebei-EP_Coal_300_RC-ep-143,1994,300,1
Hebei-EP_Coal_300_RC-ep-144,1993,300,1
Hebei-EP_Coal_300_RC-ep-145,2005,300,1
Hebei-EP_Coal_300_RC-ep-146,2004,300,1
Hebei-EP_Coal_300_RC-ep-147,1997,300,1
Hebei-EP_Coal_300_RC-ep-148,1997,300,1
Hebei-EP_Coal_300_RC-ep-149,2011,300,1
Hebei-EP_Coal_300_RC-ep-150,2011,300,1
Hebei-EP_Coal_300_RC-ep-151,2006,300,1
Hebei-EP_Coal_300_RC-ep-152,2005,300,1
Hebei-Coal_100_OT-ep-153,1978,250,1
Hebei-Coal_100_OT-ep-154,1978,250,1
Hebei-Coal_100_RC-ep-156,1983,220,1
Hebei-Coal_100_RC-ep-157,1999,220,1
Hebei-Coal_100_RC-ep-158,1998,220,1
Hebei-Coal_100_SEA-ep-159,1993,215,1
Hebei-Coal_100_SEA-ep-160,1992,215,1
Hebei-Coal_100_RC-ep-161,2007,200,1
Hebei-Coal_100_OT-ep-162,1987,200,1
Hebei-Coal_100_OT-ep-163,1986,200,1
Hebei-Coal_100_OT-ep-164,1984,200,1
Hebei-Coal_100_OT-ep-165,1983,200,1
Hebei-Coal_100_RC-ep-166,1988,200,1
Hebei-Coal_100_RC-ep-167,2007,200,1
Hebei-Coal_100_RC-ep-168,2007,200,1
Hebei-Coal_100_RC-ep-169,1995,200,1
Hebei-Coal_100_RC-ep-170,2006,200,1
Hebei-Coal_100_RC-ep-171,2003,200,1
Hebei-Coal_100_RC-ep-172,2003,200,1
Hebei-Coal_100_RC-ep-173,2009,150,1
Hebei-Coal_100_RC-ep-174,2009,150,1
Hebei-Coal_100_RC-ep-175,2003,125,1
Hebei-Coal_100_RC-ep-176,2002,125,1
Hebei-Coal_Small_RC-ep-177,1990,67.5,1
Hebei-Coal_Small_RC-ep-178,1990,36,1
Shanxi-EP_Gas_CCGT_RC-ep-182,1990,860,1
Shanxi-EP_Gas_CCGT_RC-ep-183,2015,859,1
Shanxi-Coal_Small_RC-ep-184,1990,709,1
Shanxi-EP_Coal_600_DRY-ep-185,2009,660,1
Shanxi-EP_Coal_600_DRY-ep-186,2009,660,1
Shanxi-EP_Coal_600_DRY-ep-187,2010,660,1
Shanxi-EP_Coal_600_DRY-ep-188,2010,660,1
Shanxi-Coal_Small_RC-ep-189,1990,632.9,1
