TRANSMISSION_LINE,trans_dbid,trans_lz_send,trans_lz_receive,trans_length_km,trans_efficiency,existing_trans_cap,trans_new_build_allowed
Hubei-Hunan,70,Hubei,Hunan,292.194,0.981844,8500.0,True
Hubei-Jiangxi,71,Hubei,Jiangxi,261.519,0.98375,2500.0,True
Hubei-Shaanxi,72,Hubei,Shaanxi,648.098,0.959729,0.0,True
Hunan-Chongqing,73,Hunan,Chongqing,647.775,0.959749,2500.0,True
Hunan-Guangdong,74,Hunan,Guangdong,565.78,0.964844,0.0,True
Hunan-Guangxi,75,Hunan,Guangxi,760.987,0.952715,0.0,True
Hunan-Guizhou,76,Hunan,Guizhou,644.732,0.959938,0.0,True
Hunan-Hubei,77,Hunan,Hubei,292.194,0.981844,2500.0,True
Hunan-Jiangxi,78,Hunan,Jiangxi,290.219,0.981967,2500.0,True
Hunan-Shanxi,169,Hunan,Shanxi,1075.97,0.933142,0.0,True
Hunan-Sichuan,186,Hunan,Sichuan,903.926,0.943833,2500.0,True
Jiangsu-Anhui,79,Jiangsu,Anhui,142.72,0.991132,2500.0,True
Jiangsu-East_Inner_Mongolia,167,Jiangsu,East_Inner_Mongolia,1675.78,0.895872,0.0,True
Jiangsu-Gansu,176,Jiangsu,Gansu,1452.51,0.909745,0.0,True
Jiangsu-Guizhou,173,Jiangsu,Guizhou,1316.98,0.918167,0.0,True
Jiangsu-Shaanxi,178,Jiangsu,Shaanxi,946.625,0.941179,0.0,True
Jiangsu-Shandong,80,Jiangsu,Shandong,538.635,0.966531,0.0,True
Jiangsu-Shanghai,81,Jiangsu,Shanghai,270.654,0.983182,7500.0,True
Jiangsu-Shanxi,185,Jiangsu,Shanxi,859.141,0.946615,0.0,True
Jiangsu-Zhejiang,82,Jiangsu,Zhejiang,238.01,0.985211,2500.0,True
Jiangxi-Anhui,83,Jiangxi,Anhui,378.223,0.976498,0.0,True
Jiangxi-Fujian,84,Jiangxi,Fujian,442.654,0.972495,0.0,True
Jiangxi-Guangdong,85,Jiangxi,Guangdong,671.852,0.958253,0.0,True
Jiangxi-Hubei,86,Jiangxi,Hubei,261.519,0.98375,10500.0,True
Jiangxi-Hunan,87,Jiangxi,Hunan,290.219,0.981967,10500.0,True
Jiangxi-West_Inner_Mongolia,166,Jiangxi,West_Inner_Mongolia,1404.34,0.912738,0.0,True
Jiangxi-Zhejiang,88,Jiangxi,Zhejiang,448.594,0.972126,0.0,True
Jilin-East_Inner_Mongolia,89,Jilin,East_Inner_Mongolia,524.246,0.967425,2500.0,True
Jilin-Heilongjiang,90,Jilin,Heilongjiang,230.727,0.985663,2500.0,True
Jilin-Liaoning,91,Jilin,Liaoning,279.993,0.982602,2500.0,True
Liaoning-East_Inner_Mongolia,92,Liaoning,East_Inner_Mongolia,634.827,0.960554,2500.0,True
Liaoning-Hebei,93,Liaoning,Hebei,867.054,0.946124,0.0,True
Liaoning-Jilin,94,Liaoning,Jilin,279.993,0.982602,2500.0,True
Ningxia-Gansu,95,Ningxia,Gansu,347.844,0.978386,2500.0,True
Ningxia-Shaanxi,96,Ningxia,Shaanxi,525.503,0.967347,2500.0,True
Ningxia-Shandong,97,Ningxia,Shandong,966.387,0.939952,4000.0,True
Ningxia-West_Inner_Mongolia,98,Ningxia,West_Inner_Mongolia,530.462,0.967039,0.0,True
Ningxia-Zhejiang,99,Ningxia,Zhejiang,1564.38,0.902794,7200.0,True
Qinghai-Gansu,100,Qinghai,Gansu,185.81,0.988454,2500.0,True
Qinghai-Sichuan,101,Qinghai,Sichuan,694.63,0.956838,0.0,True
Qinghai-Tibet,102,Qinghai,Tibet,1256.33,0.921936,0.0,False
Qinghai-Xinjiang,103,Qinghai,Xinjiang,1441.96,0.910401,2500.0,True
Shaanxi-Chongqing,104,Shaanxi,Chongqing,571.365,0.964497,0.0,True
Shaanxi-Gansu,105,Shaanxi,Gansu,513.414,0.968098,2500.0,True
Shaanxi-Henan,106,Shaanxi,Henan,434.213,0.973019,0.0,True
Shaanxi-Hubei,107,Shaanxi,Hubei,648.098,0.959729,8000.0,True
Shaanxi-Jiangsu,108,Shaanxi,Jiangsu,946.625,0.941179,4000.0,True
Shaanxi-Ningxia,109,Shaanxi,Ningxia,525.503,0.967347,2500.0,True
Shaanxi-Shanxi,110,Shaanxi,Shanxi,516.593,0.9679,0.0,True
Shaanxi-Sichuan,111,Shaanxi,Sichuan,607.159,0.962273,0.0,True
Shaanxi-West_Inner_Mongolia,112,Shaanxi,West_Inner_Mongolia,767.499,0.95231,0.0,True
Shandong-Anhui,113,Shandong,Anhui,534.737,0.966773,0.0,True
Shandong-East_Inner_Mongolia,183,Shandong,East_Inner_Mongolia,1189.06,0.926115,0.0,True
Shandong-Hebei,114,Shandong,Hebei,270.032,0.983221,12500.0,True
Shandong-Henan,115,Shandong,Henan,369.949,0.977012,0.0,True
Shandong-Jiangsu,116,Shandong,Jiangsu,538.635,0.966531,5000.0,True
Shandong-Ningxia,171,Shandong,Ningxia,966.387,0.939952,0.0,True
Shandong-Shanxi,170,Shandong,Shanxi,414.71,0.974231,2500.0,True
Shandong-Tianjin,180,Shandong,Tianjin,274.539,0.982941,2500.0,True
