GENERATION_PROJECT,gen_dbid,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_flexible_baseload,gen_is_baseload,gen_can_provide_spinning_reserves,gen_can_provide_quickstart_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_min_load_fraction,gen_is_pumped_hydro
Anhui-Battery_Storage-11177,new.11177,Battery_Storage,Storage,Anhui,15,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.0055,0.02,.,0,FALSE,0.767,0,FALSE
Anhui-Central_PV-401,new.401,Central_PV,Solar,Anhui,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,3000,0,0.02,8500,0,FALSE,.,0,FALSE
Anhui-Central_PV-402,new.402,Central_PV,Solar,Anhui,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,3000,0,0.02,8500,0,FALSE,.,0,FALSE
Anhui-Central_PV-403,new.403,Central_PV,Solar,Anhui,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,3000,0,0.02,8500,0,FALSE,.,0,FALSE
Anhui-Central_PV-404,new.404,Central_PV,Solar,Anhui,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,3000,0,0.02,8500,0,FALSE,.,0,FALSE
Anhui-Central_PV_EP-ep-50012,existing.50012,Central_PV_EP,Solar,Anhui,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0,0.02,14.6,0,FALSE,.,0,FALSE
Anhui-Central_PV_EP-ep-50026,existing.50026,Central_PV_EP,Solar,Anhui,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0,0.02,31.4,0,FALSE,.,0,FALSE
Anhui-Central_PV_EP-ep-50053,existing.50053,Central_PV_EP,Solar,Anhui,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0,0.02,404.1,0,FALSE,.,0,FALSE
Anhui-Central_PV_EP-ep-50083,existing.50083,Central_PV_EP,Solar,Anhui,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0,0.02,754.3,0,FALSE,.,0,FALSE
Anhui-Central_PV_EP-ep-50112,existing.50112,Central_PV_EP,Solar,Anhui,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0,0.02,2245.2,0,FALSE,.,0,FALSE
