regional_fuel_market,period,tier,unit_cost,max_avail_at_cost
Liaoning,2023,0,15.6264331817627,1090645860.0
Liaoning,2028,0,16.9608615875244,1090645860.0
Liaoning,2033,0,18.1819072723389,1090645860.0
Liaoning,2038,0,19.1470512390137,1090645860.0
Liaoning,2043,0,20.3330612182617,1090645860.0
Liaoning,2048,0,21.5190696716309,1090645860.0
Ningxia,2023,0,15.6264331817627,47878656.0
Ningxia,2028,0,16.9608615875244,47878656.0
Ningxia,2033,0,18.1819072723389,47878656.0
Ningxia,2038,0,19.1470512390137,47878656.0
Ningxia,2043,0,20.3330612182617,47878656.0
Ningxia,2048,0,21.5190696716309,47878656.0
Qinghai,2023,0,15.6264331817627,1000000000.0
Qinghai,2028,0,16.9608615875244,1000000000.0
Qinghai,2033,0,18.1819072723389,1000000000.0
Qinghai,2038,0,19.1470512390137,1000000000.0
Qinghai,2043,0,20.3330612182617,1000000000.0
Qinghai,2048,0,21.5190696716309,1000000000.0
Shaanxi,2023,0,15.6264331817627,1000000000.0
Shaanxi,2028,0,16.9608615875244,1000000000.0
Shaanxi,2033,0,18.1819072723389,1000000000.0
Shaanxi,2038,0,19.1470512390137,1000000000.0
Shaanxi,2043,0,20.3330612182617,1000000000.0
Shaanxi,2048,0,21.5190696716309,1000000000.0
Shandong,2023,0,15.6264331817627,1095527891.0
Shandong,2028,0,16.9608615875244,1114913255.0
Shandong,2033,0,18.1819072723389,1120908722.0
Shandong,2038,0,19.1470512390137,1120908730.0
Shandong,2043,0,20.3330612182617,1120908722.0
Shandong,2048,0,21.5190696716309,1120908722.0
Shanghai,2023,0,15.6264331817627,562001986.0
Shanghai,2028,0,16.9608615875244,562001986.0
Shanghai,2033,0,18.1819072723389,562001986.0
Shanghai,2038,0,19.1470512390137,562001986.0
Shanghai,2043,0,20.3330612182617,562001986.0
Shanghai,2048,0,21.5190696716309,562001986.0
Shanxi,2023,0,15.6264331817627,157743072.0
Shanxi,2028,0,16.9608615875244,157743072.0
Shanxi,2033,0,18.1819072723389,157743072.0
Shanxi,2038,0,19.1470512390137,157743072.0
Shanxi,2043,0,20.3330612182617,157743072.0
Shanxi,2048,0,21.5190696716309,157743072.0
Sichuan,2023,0,15.6264331817627,61241076.0
Sichuan,2028,0,16.9608615875244,61241076.0
Sichuan,2033,0,18.1819072723389,61241076.0
Sichuan,2038,0,19.1470512390137,61241076.0
Sichuan,2043,0,20.3330612182617,61241076.0
Sichuan,2048,0,21.5190696716309,61241076.0
Tianjin,2023,0,15.6264331817627,369488236.0
Tianjin,2028,0,16.9608615875244,369488236.0
Tianjin,2033,0,18.1819072723389,369488236.0
Tianjin,2038,0,19.1470512390137,369488236.0
Tianjin,2043,0,20.3330612182617,369488236.0
Tianjin,2048,0,21.5190696716309,369488236.0
Tibet,2023,0,15.6264331817627,1000000000.0
Tibet,2028,0,16.9608615875244,1000000000.0
Tibet,2033,0,18.1819072723389,1000000000.0
