LOAD_ZONE,PERIOD,zone_expected_coincident_peak_demand
Jilin,2023,18538.802408205
Jilin,2028,21564.6818803812
Jilin,2033,23949.5350487153
Jilin,2038,26598.1307877055
Jilin,2043,28937.1584140805
Jilin,2048,31481.8790750756
Liaoning,2023,49131.465689723
Liaoning,2028,55805.0104567269
Liaoning,2033,61976.5253779704
Liaoning,2038,68830.5524269137
Liaoning,2043,74883.4801664682
Liaoning,2048,81468.6996417192
Ningxia,2023,14847.0018280834
Ningxia,2028,17890.6256951545
Ningxia,2033,19869.1624344971
Ningxia,2038,22066.5069280026
Ningxia,2043,24007.0255958051
Ningxia,2048,26118.1926001284
Qinghai,2023,11017.7904889006
Qinghai,2028,12284.2596846765
Qinghai,2033,13642.7845074466
Qinghai,2038,15151.5495352805
Qinghai,2043,16483.9699684409
Qinghai,2048,17933.5628536048
Shaanxi,2023,28534.1495906177
Shaanxi,2028,34883.3817918456
Shaanxi,2033,38741.1592471288
Shaanxi,2038,43025.5709944454
Shaanxi,2043,46809.2203042339
Shaanxi,2048,50925.6020279934
Shandong,2023,93183.9995637006
Shandong,2028,104404.571551727
Shandong,2033,115950.745737595
Shandong,2038,128773.819357548
Shandong,2043,140098.130958059
Shandong,2048,152418.297413736
Shanghai,2023,39830.6246554197
Shanghai,2028,42278.5106469931
Shanghai,2033,46954.1205460038
Shanghai,2038,52146.8093958381
Shanghai,2043,56732.5762971932
Shanghai,2048,61721.6134717866
Shanxi,2023,47017.1129921056
Shanxi,2028,51403.7554127035
Shanxi,2033,57088.5324773624
Shanxi,2038,63401.9929916139
Shanxi,2043,68977.5356625736
Shanxi,2048,75043.3890415862
Sichuan,2023,48684.7819644476
Sichuan,2028,56439.0055443323
Sichuan,2033,62680.6344232855
Sichuan,2038,69612.529381289
Sichuan,2043,75734.2238215591
Sichuan,2048,82394.2573101745
Tianjin,2023,20235.4622582961
Tianjin,2028,22451.3179498443
Tianjin,2033,24934.2248177946
Tianjin,2038,27691.7180832423
Tianjin,2043,30126.9152832061
Tianjin,2048,32776.2626267213
Tibet,2023,1188.43976737324
Tibet,2028,1495.2388895844
Tibet,2033,1660.59839838781
Tibet,2038,1844.24513028459
Tibet,2043,2006.42721533311
Tibet,2048,2182.8715198007
West_Inner_Mongolia,2023,34287.2712162149
West_Inner_Mongolia,2028,40135.7524356339
West_Inner_Mongolia,2033,44574.3932136681
West_Inner_Mongolia,2038,49503.9063626145
West_Inner_Mongolia,2043,53857.2575631116
West_Inner_Mongolia,2048,58593.4405049271
Xinjiang,2023,26779.7213787338
Xinjiang,2028,35166.2164764702
Xinjiang,2033,39055.2728162501
Xinjiang,2038,43374.4226016556
Xinjiang,2043,47188.7497644587
Xinjiang,2048,51338.507137792
Yunnan,2023,30526.621322705
Yunnan,2028,35046.4725651957
Yunnan,2033,38922.2863425405
Yunnan,2038,43226.7290613206
Yunnan,2043,47028.0681207927
Yunnan,2048,51163.6952228455
Zhejiang,2023,87598.2782243776
Zhejiang,2028,94368.223898935
Zhejiang,2033,104804.47141716
Zhejiang,2038,116394.870807293
Zhejiang,2043,126630.583254893
Zhejiang,2048,137766.419639083
