LOAD_ZONE,PERIOD,zone_expected_coincident_peak_demand
Anhui,2023,33596.5617771565
Anhui,2028,36731.0822463877
Anhui,2033,40793.1981800956
Anhui,2038,45304.5463402921
Anhui,2043,49288.6077142331
Anhui,2048,53623.0256486858
Beijing,2023,20975.5383710667
Beijing,2028,22154.8541062124
Beijing,2033,24604.9748314919
Beijing,2038,27326.0561119465
Beijing,2043,29729.097163059
Beijing,2048,32343.4605604945
Chongqing,2023,24499.0565838062
Chongqing,2028,28956.8992143432
Chongqing,2033,32159.2628392517
Chongqing,2038,35715.7780848234
Chongqing,2043,38856.6075026746
Chongqing,2048,42273.6400430956
East_Inner_Mongolia,2023,13734.3495248503
East_Inner_Mongolia,2028,16077.0581280079
East_Inner_Mongolia,2033,17855.0311686838
East_Inner_Mongolia,2038,19829.6314845864
East_Inner_Mongolia,2043,21573.44033467
East_Inner_Mongolia,2048,23470.5989486155
Fujian,2023,41825.2451426207
Fujian,2028,46861.5515496967
Fujian,2033,52044.0031298436
Fujian,2038,57799.5856348614
Fujian,2043,62882.4551294146
Fujian,2048,68412.3098750712
Gansu,2023,23144.3383186752
Gansu,2028,28294.2649938112
Gansu,2033,31423.3474393799
Gansu,2038,34898.4772890183
Gansu,2043,37967.4336434687
Gansu,2048,41306.2726357065
Guangdong,2023,119471.274742366
Guangdong,2028,128704.493203626
Guangdong,2033,142938.012626639
Guangdong,2038,158745.62686268
Guangdong,2043,172705.645698652
Guangdong,2048,187893.302295439
Guangxi,2023,31906.4934012389
Guangxi,2028,36988.3706018802
Guangxi,2033,41078.9402337774
Guangxi,2038,45621.8888064367
Guangxi,2043,49633.8571337369
Guangxi,2048,53998.6361464419
Guizhou,2023,33323.317030864
Guizhou,2028,39577.6472962865
Guizhou,2033,43954.5668387736
Guizhou,2038,48815.532957804
Guizhou,2043,53108.3489115213
Guizhou,2048,57778.6731642552
Hainan,2023,5875.42407365208
Hainan,2028,6877.61252820094
Hainan,2033,7638.21248137606
Hainan,2038,8482.92771240346
Hainan,2043,9228.91254984268
Hainan,2048,10040.4989574657
Hebei,2023,106717.531926936
Hebei,2028,118984.462122319
Hebei,2033,132143.036547342
Hebei,2038,146756.826870394
Hebei,2043,159662.556041696
Hebei,2048,173703.209216158
Heilongjiang,2023,22659.3350999618
Heilongjiang,2028,24159.059184442
Heilongjiang,2033,26830.8263433354
Heilongjiang,2038,29798.0660906622
Heilongjiang,2043,32418.4945844879
Heilongjiang,2048,35269.3623783126
Henan,2023,78009.5446455539
Henan,2028,85287.7451980033
Henan,2033,94719.7762608206
Henan,2038,105194.902199266
Henan,2043,114445.694458384
Henan,2048,124509.99721689
Hubei,2023,46495.6571915768
Hubei,2028,55222.2553184873
Hubei,2033,61329.3229436611
Hubei,2038,68111.7754252365
Hubei,2043,74101.4942394141
Hubei,2048,80617.9462248962
Hunan,2023,39571.2927431793
Hunan,2028,46545.9443500236
Hunan,2033,51693.49271044
Hunan,2038,57410.3120243806
Hunan,2043,62458.9489731809
Hunan,2048,67951.5607784489
Jiangsu,2023,109591.637011142
Jiangsu,2028,117480.879514286
Jiangsu,2033,130473.171692879
Jiangsu,2038,144902.290500211
Jiangsu,2043,157644.932579469
Jiangsu,2048,171508.156856561
Jiangxi,2023,22460.2701705406
Jiangxi,2028,26419.01269765
Jiangxi,2033,29340.709687466
Jiangxi,2038,32585.5191795542
Jiangxi,2043,35451.075040945
Jiangxi,2048,38568.626592492
