TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
2025.01.22,2023,4,6,155.0
2025.02.08,2023,4,6,140.0
2025.03.21,2023,4,6,155.0
2025.04.11,2023,4,6,150.0
2025.05.22,2023,4,6,155.0
2025.06.16,2023,4,6,150.0
2025.07.22,2023,4,6,155.0
2025.08.19,2023,4,6,155.0
2025.09.20,2023,4,6,150.0
2025.10.26,2023,4,6,155.0
2025.11.19,2023,4,6,150.0
2025.12.16,2023,4,6,155.0
2030.01.28,2028,4,6,155.0
2030.02.14,2028,4,6,140.0
2030.03.24,2028,4,6,155.0
2030.04.15,2028,4,6,150.0
2030.05.06,2028,4,6,155.0
2030.06.19,2028,4,6,150.0
2030.07.01,2028,4,6,155.0
2030.08.23,2028,4,6,155.0
2030.09.07,2028,4,6,150.0
2030.10.31,2028,4,6,155.0
2030.11.12,2028,4,6,150.0
2030.12.08,2028,4,6,155.0
2035.01.26,2033,4,6,155.0
2035.02.24,2033,4,6,140.0
2035.03.29,2033,4,6,155.0
2035.04.12,2033,4,6,150.0
2035.05.28,2033,4,6,155.0
2035.06.28,2033,4,6,150.0
2035.07.12,2033,4,6,155.0
2035.08.10,2033,4,6,155.0
2035.09.29,2033,4,6,150.0
2035.10.20,2033,4,6,155.0
2035.11.14,2033,4,6,150.0
2035.12.25,2033,4,6,155.0
2040.01.02,2038,4,6,155.0
2040.02.07,2038,4,6,140.0
2040.03.07,2038,4,6,155.0
2040.04.19,2038,4,6,150.0
2040.05.19,2038,4,6,155.0
2040.06.26,2038,4,6,150.0
2040.07.24,2038,4,6,155.0
2040.08.26,2038,4,6,155.0
2040.09.10,2038,4,6,150.0
2040.10.13,2038,4,6,155.0
2040.11.11,2038,4,6,150.0
2040.12.19,2038,4,6,155.0
2045.01.23,2043,4,6,155.0
2045.02.05,2043,4,6,140.0
2045.03.19,2043,4,6,155.0
2045.04.22,2043,4,6,150.0
2045.05.29,2043,4,6,155.0
2045.06.25,2043,4,6,150.0
2045.07.07,2043,4,6,155.0
2045.08.14,2043,4,6,155.0
2045.09.17,2043,4,6,150.0
2045.10.27,2043,4,6,155.0
2045.11.02,2043,4,6,150.0
2045.12.03,2043,4,6,155.0
2050.01.04,2048,4,6,155.0
2050.02.03,2048,4,6,140.0
2050.03.16,2048,4,6,155.0
2050.04.29,2048,4,6,150.0
2050.05.17,2048,4,6,155.0
2050.06.12,2048,4,6,150.0
2050.07.23,2048,4,6,155.0
2050.08.20,2048,4,6,155.0
2050.09.13,2048,4,6,150.0
2050.10.22,2048,4,6,155.0
2050.11.29,2048,4,6,150.0
2050.12.12,2048,4,6,155.0
