GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Anhui-EP_Coal_300_OT-ep-1219,0.4,9.16975
Anhui-EP_Coal_300_OT-ep-1219,1.0,8.53
Anhui-EP_Coal_300_OT-ep-1220,0.4,9.16975
Anhui-EP_Coal_300_OT-ep-1220,1.0,8.53
Anhui-EP_Coal_300_OT-ep-1221,0.4,9.16975
Anhui-EP_Coal_300_OT-ep-1221,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1200,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1200,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1201,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1201,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1202,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1202,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1203,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1203,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1204,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1204,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1205,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1205,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1210,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1210,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1211,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1211,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1212,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1212,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1213,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1213,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1214,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1214,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1215,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1215,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1216,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1216,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1217,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1217,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1222,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1222,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1223,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1223,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1224,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1224,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1225,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1225,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1226,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1226,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1227,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1227,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1228,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1228,1.0,8.53
Anhui-EP_Coal_300_RC-ep-1229,0.4,9.16975
Anhui-EP_Coal_300_RC-ep-1229,1.0,8.53
Anhui-EP_Coal_600_OT-ep-1168,0.4,8.52475
Anhui-EP_Coal_600_OT-ep-1168,1.0,7.93
Anhui-EP_Coal_600_OT-ep-1169,0.4,8.52475
Anhui-EP_Coal_600_OT-ep-1169,1.0,7.93
Anhui-EP_Coal_600_OT-ep-1170,0.4,8.52475
Anhui-EP_Coal_600_OT-ep-1170,1.0,7.93
Anhui-EP_Coal_600_OT-ep-1171,0.4,8.52475
Anhui-EP_Coal_600_OT-ep-1171,1.0,7.93
Anhui-EP_Coal_600_OT-ep-1172,0.4,8.52475
Anhui-EP_Coal_600_OT-ep-1172,1.0,7.93
Anhui-EP_Coal_600_OT-ep-1173,0.4,8.52475
Anhui-EP_Coal_600_OT-ep-1173,1.0,7.93
Anhui-EP_Coal_600_OT-ep-1174,0.4,8.52475
Anhui-EP_Coal_600_OT-ep-1174,1.0,7.93
Anhui-EP_Coal_600_OT-ep-1175,0.4,8.52475
Anhui-EP_Coal_600_OT-ep-1175,1.0,7.93
Anhui-EP_Coal_600_OT-ep-1194,0.4,8.52475
Anhui-EP_Coal_600_OT-ep-1194,1.0,7.93
Anhui-EP_Coal_600_OT-ep-1195,0.4,8.52475
Anhui-EP_Coal_600_OT-ep-1195,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1158,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1158,1.0,7.93
