GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Guangdong-EP_Coal_300_OT-ep-1910,0.4,9.16975
Guangdong-EP_Coal_300_OT-ep-1910,1.0,8.53
Guangdong-EP_Coal_300_OT-ep-1911,0.4,9.16975
Guangdong-EP_Coal_300_OT-ep-1911,1.0,8.53
Guangdong-EP_Coal_300_OT-ep-1912,0.4,9.16975
Guangdong-EP_Coal_300_OT-ep-1912,1.0,8.53
Guangdong-EP_Coal_300_OT-ep-1913,0.4,9.16975
Guangdong-EP_Coal_300_OT-ep-1913,1.0,8.53
Guangdong-EP_Coal_300_OT-ep-1922,0.4,9.16975
Guangdong-EP_Coal_300_OT-ep-1922,1.0,8.53
Guangdong-EP_Coal_300_OT-ep-1923,0.4,9.16975
Guangdong-EP_Coal_300_OT-ep-1923,1.0,8.53
Guangdong-EP_Coal_300_RC-ep-1896,0.4,9.16975
Guangdong-EP_Coal_300_RC-ep-1896,1.0,8.53
Guangdong-EP_Coal_300_RC-ep-1897,0.4,9.16975
Guangdong-EP_Coal_300_RC-ep-1897,1.0,8.53
Guangdong-EP_Coal_300_RC-ep-1904,0.4,9.16975
Guangdong-EP_Coal_300_RC-ep-1904,1.0,8.53
Guangdong-EP_Coal_300_RC-ep-1905,0.4,9.16975
Guangdong-EP_Coal_300_RC-ep-1905,1.0,8.53
Guangdong-EP_Coal_300_RC-ep-1906,0.4,9.16975
Guangdong-EP_Coal_300_RC-ep-1906,1.0,8.53
Guangdong-EP_Coal_300_RC-ep-1907,0.4,9.16975
Guangdong-EP_Coal_300_RC-ep-1907,1.0,8.53
Guangdong-EP_Coal_300_RC-ep-1908,0.4,9.16975
Guangdong-EP_Coal_300_RC-ep-1908,1.0,8.53
Guangdong-EP_Coal_300_RC-ep-1909,0.4,9.16975
Guangdong-EP_Coal_300_RC-ep-1909,1.0,8.53
Guangdong-EP_Coal_300_RC-ep-1918,0.4,9.16975
Guangdong-EP_Coal_300_RC-ep-1918,1.0,8.53
Guangdong-EP_Coal_300_RC-ep-1919,0.4,9.16975
Guangdong-EP_Coal_300_RC-ep-1919,1.0,8.53
Guangdong-EP_Coal_300_RC-ep-1920,0.4,9.16975
Guangdong-EP_Coal_300_RC-ep-1920,1.0,8.53
Guangdong-EP_Coal_300_RC-ep-1921,0.4,9.16975
Guangdong-EP_Coal_300_RC-ep-1921,1.0,8.53
Guangdong-EP_Coal_300_RC-ep-1930,0.4,9.16975
Guangdong-EP_Coal_300_RC-ep-1930,1.0,8.53
Guangdong-EP_Coal_300_RC-ep-1931,0.4,9.16975
Guangdong-EP_Coal_300_RC-ep-1931,1.0,8.53
Guangdong-EP_Coal_300_RC-ep-1936,0.4,9.16975
Guangdong-EP_Coal_300_RC-ep-1936,1.0,8.53
Guangdong-EP_Coal_300_RC-ep-1937,0.4,9.16975
Guangdong-EP_Coal_300_RC-ep-1937,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1898,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1898,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1899,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1899,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1900,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1900,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1901,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1901,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1902,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1902,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1903,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1903,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1914,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1914,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1915,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1915,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1916,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1916,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1917,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1917,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1924,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1924,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1925,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1925,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1926,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1926,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1927,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1927,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1928,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1928,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1929,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1929,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1932,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1932,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1933,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1933,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1934,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1934,1.0,8.53
Guangdong-EP_Coal_300_SEA-ep-1935,0.4,9.16975
Guangdong-EP_Coal_300_SEA-ep-1935,1.0,8.53
Guangdong-EP_Coal_600_RC-ep-1857,0.4,8.52475
Guangdong-EP_Coal_600_RC-ep-1857,1.0,7.93
Guangdong-EP_Coal_600_RC-ep-1858,0.4,8.52475
Guangdong-EP_Coal_600_RC-ep-1858,1.0,7.93
Guangdong-EP_Coal_600_RC-ep-1861,0.4,8.52475
Guangdong-EP_Coal_600_RC-ep-1861,1.0,7.93
Guangdong-EP_Coal_600_RC-ep-1862,0.4,8.52475
Guangdong-EP_Coal_600_RC-ep-1862,1.0,7.93
Guangdong-EP_Coal_600_RC-ep-1877,0.4,8.52475
Guangdong-EP_Coal_600_RC-ep-1877,1.0,7.93
Guangdong-EP_Coal_600_RC-ep-3148,0.4,8.52475
Guangdong-EP_Coal_600_RC-ep-3148,1.0,7.93
Guangdong-EP_Coal_600_RC-ep-3149,0.4,8.52475
Guangdong-EP_Coal_600_RC-ep-3149,1.0,7.93
Guangdong-EP_Coal_600_RC-ep-3150,0.4,8.52475
Guangdong-EP_Coal_600_RC-ep-3150,1.0,7.93
Guangdong-EP_Coal_600_RC-ep-3151,0.4,8.52475
Guangdong-EP_Coal_600_RC-ep-3151,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1846,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1846,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1847,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1847,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1848,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1848,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1849,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1849,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1850,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1850,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1851,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1851,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1852,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1852,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1853,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1853,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1854,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1854,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1855,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1855,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1856,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1856,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1859,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1859,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1860,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1860,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1863,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1863,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1864,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1864,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1865,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1865,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1866,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1866,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1867,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1867,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1868,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1868,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1869,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1869,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1870,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1870,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1871,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1871,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1872,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1872,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1873,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1873,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1874,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1874,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1875,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1875,1.0,7.93
Guangdong-EP_Coal_600_SEA-ep-1876,0.4,8.52475
Guangdong-EP_Coal_600_SEA-ep-1876,1.0,7.93
Guangdong-EP_Gas_CCGT_OT-ep-1977,0.45,8.68368
Guangdong-EP_Gas_CCGT_OT-ep-1977,1.0,6.32
Guangdong-EP_Gas_CCGT_RC-ep-1845,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1845,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1894,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1894,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1938,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1938,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1939,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1939,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1953,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1953,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1954,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1954,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1955,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1955,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1956,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1956,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1957,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1957,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1958,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1958,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1959,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1959,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1960,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1960,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1961,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1961,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1962,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1962,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1963,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1963,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1964,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1964,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1965,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1965,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1966,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1966,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1967,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1967,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1968,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1968,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1969,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1969,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1970,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1970,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1971,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1971,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1972,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1972,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1973,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1973,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1974,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1974,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1975,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1975,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-1976,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-1976,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-3152,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-3152,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-3153,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-3153,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-3154,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-3154,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-3161,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-3161,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-3162,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-3162,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-3163,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-3163,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-3164,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-3164,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-3165,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-3165,1.0,6.86
Guangdong-EP_Gas_CCGT_RC-ep-3166,0.45,9.42564
Guangdong-EP_Gas_CCGT_RC-ep-3166,1.0,6.86
Guangdong-EP_Gas_CCGT_SEA-ep-1879,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA-ep-1879,1.0,6.32
Guangdong-EP_Gas_CCGT_SEA-ep-1880,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA-ep-1880,1.0,6.32
Guangdong-EP_Gas_CCGT_SEA-ep-1881,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA-ep-1881,1.0,6.32
Guangdong-EP_Gas_CCGT_SEA-ep-1882,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA-ep-1882,1.0,6.32
Guangdong-EP_Gas_CCGT_SEA-ep-1883,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA-ep-1883,1.0,6.32
Guangdong-EP_Gas_CCGT_SEA-ep-1884,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA-ep-1884,1.0,6.32
Guangdong-EP_Gas_CCGT_SEA-ep-1885,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA-ep-1885,1.0,6.32
Guangdong-EP_Gas_CCGT_SEA-ep-1886,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA-ep-1886,1.0,6.32
Guangdong-EP_Gas_CCGT_SEA-ep-1887,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA-ep-1887,1.0,6.32
Guangdong-EP_Gas_CCGT_SEA-ep-1888,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA-ep-1888,1.0,6.32
Guangdong-EP_Gas_CCGT_SEA-ep-1889,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA-ep-1889,1.0,6.32
Guangdong-EP_Gas_CCGT_SEA-ep-1890,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA-ep-1890,1.0,6.32
Guangdong-EP_Gas_CCGT_SEA-ep-1891,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA-ep-1891,1.0,6.32
Guangdong-EP_Gas_CCGT_SEA-ep-1892,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA-ep-1892,1.0,6.32
Guangdong-EP_Gas_CCGT_SEA-ep-1893,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA-ep-1893,1.0,6.32
Guangdong-EP_Gas_CCGT_SEA-ep-1895,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA-ep-1895,1.0,6.32
Guangdong-Gas_CCGT_OT-12489,0.45,8.88978
Guangdong-Gas_CCGT_OT-12489,1.0,6.47
Guangdong-Gas_CCGT_OT-12551,0.45,8.88978
Guangdong-Gas_CCGT_OT-12551,1.0,6.47
Guangdong-Gas_CCGT_OT-12577,0.45,8.88978
Guangdong-Gas_CCGT_OT-12577,1.0,6.47
Guangdong-Gas_CCGT_RC-12481,0.45,9.64548
Guangdong-Gas_CCGT_RC-12481,1.0,7.02
Guangdong-Gas_CCGT_RC-12499,0.45,9.64548
Guangdong-Gas_CCGT_RC-12499,1.0,7.02
Guangdong-Gas_CCGT_RC-12517,0.45,9.64548
Guangdong-Gas_CCGT_RC-12517,1.0,7.02
Guangdong-Gas_CCGT_RC-12543,0.45,9.64548
Guangdong-Gas_CCGT_RC-12543,1.0,7.02
Guangdong-Gas_CCGT_RC-12561,0.45,9.64548
Guangdong-Gas_CCGT_RC-12561,1.0,7.02
Guangdong-Gas_CCGT_RC-12587,0.45,9.64548
Guangdong-Gas_CCGT_RC-12587,1.0,7.02
Guangdong-Gas_CCGT_SEA-12507,0.45,8.88978
Guangdong-Gas_CCGT_SEA-12507,1.0,6.47
Guangdong-Gas_CCGT_SEA-12525,0.45,8.88978
Guangdong-Gas_CCGT_SEA-12525,1.0,6.47
Guangdong-Gas_CCGT_SEA-12533,0.45,8.88978
Guangdong-Gas_CCGT_SEA-12533,1.0,6.47
Guangdong-Gas_CCGT_SEA-12569,0.45,8.88978
Guangdong-Gas_CCGT_SEA-12569,1.0,6.47
Guangdong-Gas_CCGT_SEA-12595,0.45,8.88978
Guangdong-Gas_CCGT_SEA-12595,1.0,6.47
Guangdong-Gas_Combustion_Turbine_RC-13447,0.4,11.03368
Guangdong-Gas_Combustion_Turbine_RC-13447,1.0,9.76
Guangxi-Coal_1000_OT-12597,0.4,8.471
Guangxi-Coal_1000_OT-12597,1.0,7.88
Guangxi-Coal_1000_OT-12615,0.4,8.471
Guangxi-Coal_1000_OT-12615,1.0,7.88
Guangxi-Coal_1000_RC-12605,0.4,8.471
Guangxi-Coal_1000_RC-12605,1.0,7.88
Guangxi-Coal_1000_RC-12623,0.4,8.471
Guangxi-Coal_1000_RC-12623,1.0,7.88
Guangxi-Coal_1000_SEA-12633,0.4,8.471
Guangxi-Coal_1000_SEA-12633,1.0,7.88
Guangxi-Coal_100_OT-ep-2029,0.4,9.81475
Guangxi-Coal_100_OT-ep-2029,1.0,9.13
Guangxi-Coal_100_OT-ep-2030,0.4,9.81475
Guangxi-Coal_100_OT-ep-2030,1.0,9.13
Guangxi-Coal_100_OT-ep-2038,0.4,9.81475
Guangxi-Coal_100_OT-ep-2038,1.0,9.13
Guangxi-Coal_100_OT-ep-2039,0.4,9.81475
Guangxi-Coal_100_OT-ep-2039,1.0,9.13
Guangxi-Coal_100_OT-ep-2040,0.4,9.81475
Guangxi-Coal_100_OT-ep-2040,1.0,9.13
Guangxi-Coal_100_OT-ep-2041,0.4,9.81475
Guangxi-Coal_100_OT-ep-2041,1.0,9.13
Guangxi-Coal_100_RC-ep-2031,0.4,9.7395
Guangxi-Coal_100_RC-ep-2031,1.0,9.06
Guangxi-Coal_100_RC-ep-2032,0.4,9.7395
Guangxi-Coal_100_RC-ep-2032,1.0,9.06
Guangxi-Coal_100_RC-ep-2033,0.4,9.7395
Guangxi-Coal_100_RC-ep-2033,1.0,9.06
Guangxi-Coal_100_RC-ep-2034,0.4,9.7395
Guangxi-Coal_100_RC-ep-2034,1.0,9.06
Guangxi-Coal_100_RC-ep-2035,0.4,9.7395
Guangxi-Coal_100_RC-ep-2035,1.0,9.06
Guangxi-Coal_100_RC-ep-2036,0.4,9.7395
Guangxi-Coal_100_RC-ep-2036,1.0,9.06
Guangxi-Coal_100_RC-ep-2037,0.4,9.7395
Guangxi-Coal_100_RC-ep-2037,1.0,9.06
Guangxi-Coal_300_OT-12601,0.4,9.589
Guangxi-Coal_300_OT-12601,1.0,8.92
Guangxi-Coal_300_OT-12619,0.4,9.589
Guangxi-Coal_300_OT-12619,1.0,8.92
Guangxi-Coal_300_RC-12609,0.4,9.589
Guangxi-Coal_300_RC-12609,1.0,8.92
Guangxi-Coal_300_RC-12627,0.4,9.589
Guangxi-Coal_300_RC-12627,1.0,8.92
Guangxi-Coal_300_SEA-12637,0.4,9.589
Guangxi-Coal_300_SEA-12637,1.0,8.92
Guangxi-Coal_600_OT-12599,0.4,9.08375
Guangxi-Coal_600_OT-12599,1.0,8.45
Guangxi-Coal_600_OT-12617,0.4,9.08375
Guangxi-Coal_600_OT-12617,1.0,8.45
Guangxi-Coal_600_RC-12607,0.4,9.08375
Guangxi-Coal_600_RC-12607,1.0,8.45
Guangxi-Coal_600_RC-12625,0.4,9.08375
Guangxi-Coal_600_RC-12625,1.0,8.45
Guangxi-Coal_600_SEA-12635,0.4,9.08375
Guangxi-Coal_600_SEA-12635,1.0,8.45
Guangxi-Coal_IGCC_RC-12611,0.4,12.75715
Guangxi-Coal_IGCC_RC-12611,1.0,8.89
Guangxi-Coal_IGCC_RC-12629,0.4,12.75715
Guangxi-Coal_IGCC_RC-12629,1.0,8.89
Guangxi-Coal_Small_OT-ep-2042,0.4,10.3845
Guangxi-Coal_Small_OT-ep-2042,1.0,9.66
Guangxi-Coal_Small_RC-ep-2044,0.4,10.406
Guangxi-Coal_Small_RC-ep-2044,1.0,9.68
Guangxi-Coal_Small_RC-ep-2046,0.4,10.406
Guangxi-Coal_Small_RC-ep-2046,1.0,9.68
Guangxi-EP_Coal_1000_RC-ep-2006,0.4,8.2345
Guangxi-EP_Coal_1000_RC-ep-2006,1.0,7.66
Guangxi-EP_Coal_1000_RC-ep-2007,0.4,8.2345
Guangxi-EP_Coal_1000_RC-ep-2007,1.0,7.66
Guangxi-EP_Coal_1000_SEA-ep-3167,0.4,8.2345
Guangxi-EP_Coal_1000_SEA-ep-3167,1.0,7.66
Guangxi-EP_Coal_1000_SEA-ep-3168,0.4,8.2345
Guangxi-EP_Coal_1000_SEA-ep-3168,1.0,7.66
Guangxi-EP_Coal_300_OT-ep-2019,0.4,9.16975
Guangxi-EP_Coal_300_OT-ep-2019,1.0,8.53
Guangxi-EP_Coal_300_OT-ep-2020,0.4,9.16975
Guangxi-EP_Coal_300_OT-ep-2020,1.0,8.53
Guangxi-EP_Coal_300_OT-ep-2021,0.4,9.16975
Guangxi-EP_Coal_300_OT-ep-2021,1.0,8.53
Guangxi-EP_Coal_300_OT-ep-2022,0.4,9.16975
Guangxi-EP_Coal_300_OT-ep-2022,1.0,8.53
Guangxi-EP_Coal_300_OT-ep-2027,0.4,9.16975
Guangxi-EP_Coal_300_OT-ep-2027,1.0,8.53
Guangxi-EP_Coal_300_OT-ep-2028,0.4,9.16975
Guangxi-EP_Coal_300_OT-ep-2028,1.0,8.53
Guangxi-EP_Coal_300_RC-ep-2023,0.4,9.16975
Guangxi-EP_Coal_300_RC-ep-2023,1.0,8.53
Guangxi-EP_Coal_300_RC-ep-2024,0.4,9.16975
Guangxi-EP_Coal_300_RC-ep-2024,1.0,8.53
Guangxi-EP_Coal_300_RC-ep-3169,0.4,9.16975
Guangxi-EP_Coal_300_RC-ep-3169,1.0,8.53
Guangxi-EP_Coal_300_RC-ep-3170,0.4,9.16975
Guangxi-EP_Coal_300_RC-ep-3170,1.0,8.53
Guangxi-EP_Coal_300_SEA-ep-2025,0.4,9.16975
Guangxi-EP_Coal_300_SEA-ep-2025,1.0,8.53
Guangxi-EP_Coal_300_SEA-ep-2026,0.4,9.16975
Guangxi-EP_Coal_300_SEA-ep-2026,1.0,8.53
Guangxi-EP_Coal_600_OT-ep-2009,0.4,8.52475
Guangxi-EP_Coal_600_OT-ep-2009,1.0,7.93
Guangxi-EP_Coal_600_OT-ep-2010,0.4,8.52475
Guangxi-EP_Coal_600_OT-ep-2010,1.0,7.93
Guangxi-EP_Coal_600_OT-ep-2011,0.4,8.52475
Guangxi-EP_Coal_600_OT-ep-2011,1.0,7.93
Guangxi-EP_Coal_600_OT-ep-2012,0.4,8.52475
Guangxi-EP_Coal_600_OT-ep-2012,1.0,7.93
Guangxi-EP_Coal_600_OT-ep-2013,0.4,8.52475
Guangxi-EP_Coal_600_OT-ep-2013,1.0,7.93
Guangxi-EP_Coal_600_SEA-ep-2014,0.4,8.52475
Guangxi-EP_Coal_600_SEA-ep-2014,1.0,7.93
Guangxi-EP_Coal_600_SEA-ep-2015,0.4,8.52475
Guangxi-EP_Coal_600_SEA-ep-2015,1.0,7.93
Guangxi-EP_Coal_600_SEA-ep-2016,0.4,8.52475
Guangxi-EP_Coal_600_SEA-ep-2016,1.0,7.93
Guangxi-EP_Coal_600_SEA-ep-2017,0.4,8.52475
Guangxi-EP_Coal_600_SEA-ep-2017,1.0,7.93
Guangxi-EP_Coal_600_SEA-ep-3171,0.4,8.52475
Guangxi-EP_Coal_600_SEA-ep-3171,1.0,7.93
Guangxi-EP_Coal_600_SEA-ep-3172,0.4,8.52475
Guangxi-EP_Coal_600_SEA-ep-3172,1.0,7.93
Guangxi-Gas_CCGT_OT-12603,0.45,8.88978
Guangxi-Gas_CCGT_OT-12603,1.0,6.47
Guangxi-Gas_CCGT_OT-12621,0.45,8.88978
Guangxi-Gas_CCGT_OT-12621,1.0,6.47
Guangxi-Gas_CCGT_RC-12613,0.45,9.64548
Guangxi-Gas_CCGT_RC-12613,1.0,7.02
Guangxi-Gas_CCGT_RC-12631,0.45,9.64548
Guangxi-Gas_CCGT_RC-12631,1.0,7.02
Guangxi-Gas_CCGT_SEA-12639,0.45,8.88978
Guangxi-Gas_CCGT_SEA-12639,1.0,6.47
Guangxi-Gas_Combustion_Turbine_RC-13464,0.4,11.03368
Guangxi-Gas_Combustion_Turbine_RC-13464,1.0,9.76
