gen_cost_scenario_id,technology_id,technology,year,overnight_cost,fixed_o_m,variable_o_m
28,66,Central_PV_EP,2011,2070640,20706,0.00
28,66,Central_PV_EP,2012,1948886,19489,0.00
28,66,Central_PV_EP,2013,1834292,18343,0.00
28,66,Central_PV_EP,2014,1726435,17264,0.00
28,66,Central_PV_EP,2015,1624921,16249,0.00
28,66,Central_PV_EP,2016,1529376,15294,0.00
28,66,Central_PV_EP,2017,1439448,14394,0.00
28,66,Central_PV_EP,2018,1354809,13548,0.00
28,66,Central_PV_EP,2019,1275146,12751,0.00
28,66,Central_PV_EP,2020,1200000,12000,0.00
28,66,Central_PV_EP,2021,1200000,12000,0.00
28,66,Central_PV_EP,2022,1200000,12000,0.00
28,66,Central_PV_EP,2023,1200000,12000,0.00
28,66,Central_PV_EP,2024,1200000,12000,0.00
28,66,Central_PV_EP,2025,1200000,12000,0.00
28,66,Central_PV_EP,2026,1200000,12000,0.00
28,66,Central_PV_EP,2027,1200000,12000,0.00
28,66,Central_PV_EP,2028,1200000,12000,0.00
28,66,Central_PV_EP,2029,1200000,12000,0.00
28,66,Central_PV_EP,2030,1200000,12000,0.00
28,66,Central_PV_EP,2031,1200000,12000,0.00
28,66,Central_PV_EP,2032,1200000,12000,0.00
28,66,Central_PV_EP,2033,1200000,12000,0.00
28,66,Central_PV_EP,2034,1200000,12000,0.00
28,66,Central_PV_EP,2035,1200000,12000,0.00
28,66,Central_PV_EP,2036,1200000,12000,0.00
28,66,Central_PV_EP,2037,1200000,12000,0.00
28,66,Central_PV_EP,2038,1200000,12000,0.00
28,66,Central_PV_EP,2039,1200000,12000,0.00
28,66,Central_PV_EP,2040,1200000,12000,0.00
28,66,Central_PV_EP,2041,1200000,12000,0.00
28,66,Central_PV_EP,2042,1200000,12000,0.00
28,66,Central_PV_EP,2043,1200000,12000,0.00
28,66,Central_PV_EP,2044,1200000,12000,0.00
28,66,Central_PV_EP,2045,1200000,12000,0.00
28,66,Central_PV_EP,2046,1200000,12000,0.00
28,66,Central_PV_EP,2047,1200000,12000,0.00
28,66,Central_PV_EP,2048,1200000,12000,0.00
28,66,Central_PV_EP,2049,1200000,12000,0.00
28,66,Central_PV_EP,2050,1200000,12000,0.00
28,66,Central_PV_EP,2051,1200000,12000,0.00
28,66,Central_PV_EP,2052,1200000,12000,0.00
28,66,Central_PV_EP,2053,1200000,12000,0.00
28,66,Central_PV_EP,2054,1200000,12000,0.00
28,66,Central_PV_EP,2055,1200000,12000,0.00
28,66,Central_PV_EP,2056,1200000,12000,0.00
28,66,Central_PV_EP,2057,1200000,12000,0.00
28,66,Central_PV_EP,2058,1200000,12000,0.00
28,66,Central_PV_EP,2059,1200000,12000,0.00
28,66,Central_PV_EP,2060,1200000,12000,0.00
28,65,Wind_EP,2047,1200000,12000,0.00
28,1901,CSP_Trough_6h_Storage_RC,2059,3600000,36000,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2058,3600000,36000,0.00
28,1901,CSP_Trough_6h_Storage_RC,2058,3600000,36000,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2057,3600000,36000,0.00
28,1901,CSP_Trough_6h_Storage_RC,2057,3600000,36000,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2056,3600000,36000,0.00
28,1901,CSP_Trough_6h_Storage_RC,2056,3600000,36000,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2055,3600000,36000,0.00
28,1901,CSP_Trough_6h_Storage_RC,2055,3600000,36000,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2054,3600000,36000,0.00
28,1901,CSP_Trough_6h_Storage_RC,2054,3600000,36000,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2053,3600000,36000,0.00
28,1901,CSP_Trough_6h_Storage_RC,2053,3600000,36000,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2052,3600000,36000,0.00
28,1901,CSP_Trough_6h_Storage_RC,2052,3600000,36000,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2051,3600000,36000,0.00
28,1901,CSP_Trough_6h_Storage_RC,2051,3600000,36000,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2050,3600000,36000,0.00
28,1901,CSP_Trough_6h_Storage_RC,2050,3600000,36000,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2019,4946089,49461,0.00
28,1901,CSP_Trough_6h_Storage_RC,2019,4946089,49461,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2018,5098535,50985,0.00
28,1901,CSP_Trough_6h_Storage_RC,2018,5098535,50985,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2017,5255680,52557,0.00
28,1901,CSP_Trough_6h_Storage_RC,2017,5255680,52557,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2016,5417668,54177,0.00
28,1901,CSP_Trough_6h_Storage_RC,2016,5417668,54177,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2015,5584649,55846,0.00
28,1901,CSP_Trough_6h_Storage_RC,2015,5584649,55846,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2014,5756777,57568,0.00
28,1901,CSP_Trough_6h_Storage_RC,2014,5756777,57568,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2029,4255077,42551,0.00
28,1901,CSP_Trough_6h_Storage_RC,2029,4255077,42551,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2028,4312432,43124,0.00
28,1901,CSP_Trough_6h_Storage_RC,2028,4312432,43124,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2027,4370560,43706,0.00
