gen_cost_scenario_id,technology_id,technology,year,overnight_cost,fixed_o_m,variable_o_m
28,1901,CSP_Trough_6h_Storage_RC,2027,4370560,43706,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2026,4429472,44295,0.00
28,1901,CSP_Trough_6h_Storage_RC,2026,4429472,44295,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2025,4489179,44892,0.00
28,1901,CSP_Trough_6h_Storage_RC,2025,4489179,44892,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2024,4549689,45497,0.00
28,1901,CSP_Trough_6h_Storage_RC,2024,4549689,45497,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2023,4611016,46110,0.00
28,1901,CSP_Trough_6h_Storage_RC,2023,4611016,46110,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2022,4673169,46732,0.00
28,1901,CSP_Trough_6h_Storage_RC,2022,4673169,46732,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2021,4736160,47362,0.00
28,1901,CSP_Trough_6h_Storage_RC,2021,4736160,47362,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2039,4018369,40184,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2033,4138562,41386,0.00
28,1901,CSP_Trough_6h_Storage_RC,2033,4138562,41386,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2032,4158941,41589,0.00
28,1901,CSP_Trough_6h_Storage_RC,2032,4158941,41589,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2031,4179420,41794,0.00
28,1901,CSP_Trough_6h_Storage_RC,2031,4179420,41794,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2049,3637493,36375,0.00
28,1901,CSP_Trough_6h_Storage_RC,2049,3637493,36375,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2048,3676092,36761,0.00
28,1901,CSP_Trough_6h_Storage_RC,2048,3676092,36761,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2047,3715101,37151,0.00
28,1901,CSP_Trough_6h_Storage_RC,2047,3715101,37151,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2046,3754523,37545,0.00
28,1901,CSP_Trough_6h_Storage_RC,2046,3754523,37545,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2045,3794364,37944,0.00
28,1901,CSP_Trough_6h_Storage_RC,2045,3794364,37944,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2044,3834628,38346,0.00
28,1901,CSP_Trough_6h_Storage_RC,2044,3834628,38346,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2043,3875318,38753,0.00
28,1901,CSP_Trough_6h_Storage_RC,2043,3875318,38753,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2042,3916441,39164,0.00
28,1901,CSP_Trough_6h_Storage_RC,2042,3916441,39164,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2041,3958000,39580,0.00
28,1901,CSP_Trough_6h_Storage_RC,2041,3958000,39580,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2010,6500000,65000,0.00
28,1901,CSP_Trough_6h_Storage_RC,2010,6500000,65000,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2020,4800000,48000,0.00
28,1901,CSP_Trough_6h_Storage_RC,2020,4800000,48000,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2030,4200000,42000,0.00
28,1901,CSP_Trough_6h_Storage_RC,2030,4200000,42000,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2040,4000000,40000,0.00
28,1901,CSP_Trough_6h_Storage_RC,2040,4000000,40000,0.00
28,15,Residential_PV,2010,2900000,29000,0.00
28,15,Residential_PV,2011,2857370,28574,0.00
28,15,Residential_PV,2012,2815367,28154,0.00
28,15,Residential_PV,2013,2773981,27740,0.00
28,15,Residential_PV,2014,2733203,27332,0.00
28,15,Residential_PV,2015,2693025,26930,0.00
28,15,Residential_PV,2016,2653438,26534,0.00
28,15,Residential_PV,2017,2614432,26144,0.00
28,15,Residential_PV,2018,2576000,25760,0.00
28,15,Residential_PV,2019,2538133,25381,0.00
28,15,Residential_PV,2020,2500000,25000,0.00
28,15,Residential_PV,2021,2479250,24793,0.00
28,15,Residential_PV,2022,2458672,24587,0.00
28,15,Residential_PV,2023,2438265,24383,0.00
28,15,Residential_PV,2024,2418028,24180,0.00
28,15,Residential_PV,2025,2397958,23980,0.00
28,15,Residential_PV,2026,2378055,23781,0.00
28,15,Residential_PV,2027,2358317,23583,0.00
28,15,Residential_PV,2028,2338743,23387,0.00
28,15,Residential_PV,2029,2319332,23193,0.00
28,15,Residential_PV,2030,2300000,23000,0.00
28,15,Residential_PV,2031,2289880,22899,0.00
28,20,Wind,2011,1194960,11950,0.00
28,20,Wind,2012,1189941,11899,0.00
28,20,Wind,2013,1184943,11849,0.00
28,20,Wind,2014,1179967,11800,0.00
28,20,Wind,2015,1175011,11750,0.00
28,20,Wind,2016,1170076,11701,0.00
28,20,Wind,2017,1165161,11652,0.00
28,20,Wind,2018,1160268,11603,0.00
28,20,Wind,2019,1155395,11554,0.00
28,20,Wind,2020,1150000,11500,0.00
28,20,Wind,2021,1144940,11449,0.00
28,20,Wind,2022,1139902,11399,0.00
28,20,Wind,2023,1134887,11349,0.00
28,20,Wind,2024,1129893,11299,0.00
28,20,Wind,2025,1124922,11249,0.00
28,20,Wind,2026,1119972,11200,0.00
28,25,Battery_Storage,2032,1200000,12000,0.00
28,25,Battery_Storage,2033,1200000,12000,0.00
28,25,Battery_Storage,2034,1200000,12000,0.00
28,25,Battery_Storage,2035,1200000,12000,0.00
28,25,Battery_Storage,2036,1200000,12000,0.00
28,25,Battery_Storage,2037,1200000,12000,0.00
28,25,Battery_Storage,2038,1200000,12000,0.00
28,25,Battery_Storage,2039,1200000,12000,0.00
28,25,Battery_Storage,2040,1200000,12000,0.00
28,25,Battery_Storage,2041,1200000,12000,0.00
28,25,Battery_Storage,2042,1200000,12000,0.00
28,25,Battery_Storage,2043,1200000,12000,0.00
28,25,Battery_Storage,2044,1200000,12000,0.00
28,25,Battery_Storage,2045,1200000,12000,0.00
28,25,Battery_Storage,2046,1200000,12000,0.00
28,25,Battery_Storage,2047,1200000,12000,0.00
28,25,Battery_Storage,2048,1200000,12000,0.00
28,65,Wind_EP,2020,1200000,12000,0.00
28,65,Wind_EP,2021,1200000,12000,0.00
28,65,Wind_EP,2022,1200000,12000,0.00
28,65,Wind_EP,2023,1200000,12000,0.00
28,65,Wind_EP,2024,1200000,12000,0.00
28,65,Wind_EP,2025,1200000,12000,0.00
28,65,Wind_EP,2026,1200000,12000,0.00
28,65,Wind_EP,2027,1200000,12000,0.00
28,1901,CSP_Trough_6h_Storage_RC,2060,3600000,36000,0.00
28,1902,CSP_Trough_6h_Storage_DRY,2059,3600000,36000,0.00
28,25,Battery_Storage,2010,2000000,20000,0.00
28,25,Battery_Storage,2011,1943200,19432,0.00
28,25,Battery_Storage,2012,1888013,18880,0.00
28,25,Battery_Storage,2013,1834394,18344,0.00
28,25,Battery_Storage,2014,1782297,17823,0.00
28,25,Battery_Storage,2015,1731680,17317,0.00
28,25,Battery_Storage,2016,1682500,16825,0.00
28,25,Battery_Storage,2017,1634717,16347,0.00
28,25,Battery_Storage,2018,1588291,15883,0.00
28,25,Battery_Storage,2019,1543183,15432,0.00
28,25,Battery_Storage,2020,1500000,15000,0.00
28,25,Battery_Storage,2021,1466850,14669,0.00
28,25,Battery_Storage,2022,1434433,14344,0.00
28,25,Battery_Storage,2023,1402732,14027,0.00
28,25,Battery_Storage,2024,1371731,13717,0.00
28,25,Battery_Storage,2025,1341416,13414,0.00
28,25,Battery_Storage,2026,1311771,13118,0.00
28,25,Battery_Storage,2027,1282781,12828,0.00
28,25,Battery_Storage,2028,1254431,12544,0.00
28,25,Battery_Storage,2029,1226708,12267,0.00
28,25,Battery_Storage,2030,1200000,12000,0.00
28,25,Battery_Storage,2031,1200000,12000,0.00
28,65,Wind_EP,2056,1200000,12000,0.00
28,65,Wind_EP,2057,1200000,12000,0.00
28,65,Wind_EP,2058,1200000,12000,0.00
28,65,Wind_EP,2059,1200000,12000,0.00
28,65,Wind_EP,2060,1200000,12000,0.00
28,65,Wind_EP,2050,1200000,12000,0.00
28,65,Wind_EP,2051,1200000,12000,0.00
28,65,Wind_EP,2052,1200000,12000,0.00
28,65,Wind_EP,2053,1200000,12000,0.00
28,65,Wind_EP,2054,1200000,12000,0.00
28,306,Coal_300_RC_CCS,2010,743272,7433,3.00
28,308,Coal_300_SEA_CCS,2010,743272,7433,3.00
28,207,Coal_600_DRY_CCS,2010,706372,7064,3.00
28,206,Coal_600_RC_CCS,2010,646628,6466,3.00
28,208,Coal_600_SEA_CCS,2010,578100,5781,3.00
28,107,Coal_1000_DRY_CCS,2011,722186,7222,3.00
28,105,Coal_1000_OT_CCS,2011,657172,6572,3.00
28,108,Coal_1000_SEA_CCS,2011,657172,6572,3.00
28,307,Coal_300_DRY_CCS,2011,776658,7767,3.00
28,305,Coal_300_OT_CCS,2011,743272,7433,3.00
28,306,Coal_300_RC_CCS,2011,743272,7433,3.00
28,308,Coal_300_SEA_CCS,2011,743272,7433,3.00
28,207,Coal_600_DRY_CCS,2011,706372,7064,3.00
28,206,Coal_600_RC_CCS,2011,646628,6466,3.00
28,208,Coal_600_SEA_CCS,2011,578100,5781,3.00
28,107,Coal_1000_DRY_CCS,2012,722186,7222,3.00
28,105,Coal_1000_OT_CCS,2012,657172,6572,3.00
28,108,Coal_1000_SEA_CCS,2012,657172,6572,3.00
28,307,Coal_300_DRY_CCS,2012,776658,7767,3.00
28,305,Coal_300_OT_CCS,2012,743272,7433,3.00
28,306,Coal_300_RC_CCS,2012,743272,7433,3.00
28,66,Central_PV_EP,2010,2200000,22000,0.00
28,803,Gas_CCGT_SEA,2010,640000,6400,1.70
28,802,Gas_CCGT_RC,2010,640000,6400,1.70
28,801,Gas_CCGT_OT,2010,640000,6400,1.70
28,803,Gas_CCGT_SEA,2019,640000,6400,1.70
28,802,Gas_CCGT_RC,2019,640000,6400,1.70
28,801,Gas_CCGT_OT,2019,640000,6400,1.70
28,1802,CSP_Trough_No_Storage_Dry,2060,3500000,35000,0.00
28,1801,CSP_Trough_No_Storage_RC,2060,3500000,35000,0.00
28,1802,CSP_Trough_No_Storage_Dry,2059,3500000,35000,0.00
28,1801,CSP_Trough_No_Storage_RC,2059,3500000,35000,0.00
28,1802,CSP_Trough_No_Storage_Dry,2058,3500000,35000,0.00
28,1801,CSP_Trough_No_Storage_RC,2058,3500000,35000,0.00
28,1802,CSP_Trough_No_Storage_Dry,2057,3500000,35000,0.00
28,1801,CSP_Trough_No_Storage_RC,2057,3500000,35000,0.00
28,1802,CSP_Trough_No_Storage_Dry,2056,3500000,35000,0.00
28,1801,CSP_Trough_No_Storage_RC,2056,3500000,35000,0.00
28,1802,CSP_Trough_No_Storage_Dry,2055,3500000,35000,0.00
28,1801,CSP_Trough_No_Storage_RC,2055,3500000,35000,0.00
28,1802,CSP_Trough_No_Storage_Dry,2054,3500000,35000,0.00
28,1801,CSP_Trough_No_Storage_RC,2054,3500000,35000,0.00
28,1802,CSP_Trough_No_Storage_Dry,2053,3500000,35000,0.00
28,1801,CSP_Trough_No_Storage_RC,2053,3500000,35000,0.00
28,1802,CSP_Trough_No_Storage_Dry,2052,3500000,35000,0.00
28,1801,CSP_Trough_No_Storage_RC,2052,3500000,35000,0.00
28,1802,CSP_Trough_No_Storage_Dry,2051,3500000,35000,0.00
28,1801,CSP_Trough_No_Storage_RC,2051,3500000,35000,0.00
28,1802,CSP_Trough_No_Storage_Dry,2050,3500000,35000,0.00
28,1801,CSP_Trough_No_Storage_RC,2050,3500000,35000,0.00
28,601,Coal_IGCC_RC,2019,1500000,15000,3.00
28,601,Coal_IGCC_RC,2018,1500000,15000,3.00
28,601,Coal_IGCC_RC,2017,1500000,15000,3.00
28,601,Coal_IGCC_RC,2016,1500000,15000,3.00
28,601,Coal_IGCC_RC,2015,1500000,15000,3.00
28,601,Coal_IGCC_RC,2014,1500000,15000,3.00
28,601,Coal_IGCC_RC,2013,1500000,15000,3.00
28,601,Coal_IGCC_RC,2012,1500000,15000,3.00
28,601,Coal_IGCC_RC,2011,1500000,15000,3.00
28,901,Nuclear_SEA,2011,2019200,20192,3.00
28,903,Nuclear_EP_SEA,2019,2000000,20000,3.00
28,903,Nuclear_EP_SEA,2018,2000000,20000,3.00
28,903,Nuclear_EP_SEA,2017,2000000,20000,3.00
28,903,Nuclear_EP_SEA,2016,2000000,20000,3.00
28,903,Nuclear_EP_SEA,2015,2000000,20000,3.00
28,903,Nuclear_EP_SEA,2014,2000000,20000,3.00
28,903,Nuclear_EP_SEA,2013,2000000,20000,3.00
28,903,Nuclear_EP_SEA,2012,2000000,20000,3.00
28,903,Nuclear_EP_SEA,2011,2000000,20000,3.00
28,1802,CSP_Trough_No_Storage_Dry,2029,4047731,40477,0.00
28,1801,CSP_Trough_No_Storage_RC,2029,4047731,40477,0.00
28,1802,CSP_Trough_No_Storage_Dry,2028,4095650,40957,0.00
28,1801,CSP_Trough_No_Storage_RC,2028,4095650,40957,0.00
28,1802,CSP_Trough_No_Storage_Dry,2027,4144137,41441,0.00
28,1801,CSP_Trough_No_Storage_RC,2027,4144137,41441,0.00
28,1802,CSP_Trough_No_Storage_Dry,2026,4193197,41932,0.00
28,1801,CSP_Trough_No_Storage_RC,2026,4193197,41932,0.00
28,1802,CSP_Trough_No_Storage_Dry,2025,4242838,42428,0.00
28,1801,CSP_Trough_No_Storage_RC,2025,4242838,42428,0.00
28,1802,CSP_Trough_No_Storage_Dry,2024,4293067,42931,0.00
28,1801,CSP_Trough_No_Storage_RC,2024,4293067,42931,0.00
28,1802,CSP_Trough_No_Storage_Dry,2023,4343891,43439,0.00
28,1801,CSP_Trough_No_Storage_RC,2023,4343891,43439,0.00
28,1802,CSP_Trough_No_Storage_Dry,2022,4395316,43953,0.00
28,1801,CSP_Trough_No_Storage_RC,2022,4395316,43953,0.00
28,1802,CSP_Trough_No_Storage_Dry,2021,4447350,44474,0.00
28,1801,CSP_Trough_No_Storage_RC,2021,4447350,44474,0.00
28,1802,CSP_Trough_No_Storage_Dry,2039,3727803,37278,0.00
28,1801,CSP_Trough_No_Storage_RC,2039,3727803,37278,0.00
28,1802,CSP_Trough_No_Storage_Dry,2038,3757109,37571,0.00
28,1801,CSP_Trough_No_Storage_RC,2038,3757109,37571,0.00
28,1802,CSP_Trough_No_Storage_Dry,2037,3786645,37866,0.00
28,1801,CSP_Trough_No_Storage_RC,2037,3786645,37866,0.00
28,1802,CSP_Trough_No_Storage_Dry,2036,3816413,38164,0.00
28,1801,CSP_Trough_No_Storage_RC,2036,3816413,38164,0.00
28,1802,CSP_Trough_No_Storage_Dry,2035,3846415,38464,0.00
28,1801,CSP_Trough_No_Storage_RC,2035,3846415,38464,0.00
28,1802,CSP_Trough_No_Storage_Dry,2034,3876653,38767,0.00
28,1801,CSP_Trough_No_Storage_RC,2034,3876653,38767,0.00
28,1802,CSP_Trough_No_Storage_Dry,2033,3907128,39071,0.00
28,1801,CSP_Trough_No_Storage_RC,2033,3907128,39071,0.00
28,1802,CSP_Trough_No_Storage_Dry,2032,3937843,39378,0.00
28,1801,CSP_Trough_No_Storage_RC,2032,3937843,39378,0.00
28,1802,CSP_Trough_No_Storage_Dry,2031,3968800,39688,0.00
28,1801,CSP_Trough_No_Storage_RC,2031,3968800,39688,0.00
28,1802,CSP_Trough_No_Storage_Dry,2049,3520828,35208,0.00
28,1801,CSP_Trough_No_Storage_RC,2049,3520828,35208,0.00
28,601,Coal_IGCC_RC,2010,1500000,15000,3.00
28,1802,CSP_Trough_No_Storage_Dry,2010,5000000,50000,0.00
28,1801,CSP_Trough_No_Storage_RC,2010,5000000,50000,0.00
28,902,Nuclear_RC,2010,2000000,20000,3.00
28,901,Nuclear_SEA,2010,2000000,20000,3.00
28,903,Nuclear_EP_SEA,2010,2000000,20000,3.00
28,1802,CSP_Trough_No_Storage_Dry,2020,4500000,45000,0.00
28,1801,CSP_Trough_No_Storage_RC,2020,4500000,45000,0.00
28,1802,CSP_Trough_No_Storage_Dry,2030,4000000,40000,0.00
28,1801,CSP_Trough_No_Storage_RC,2030,4000000,40000,0.00
28,1802,CSP_Trough_No_Storage_Dry,2040,3700000,37000,0.00
28,1801,CSP_Trough_No_Storage_RC,2040,3700000,37000,0.00
28,107,Coal_1000_DRY_CCS,2010,722186,7222,3.00
28,105,Coal_1000_OT_CCS,2010,657172,6572,3.00
28,108,Coal_1000_SEA_CCS,2010,657172,6572,3.00
28,307,Coal_300_DRY_CCS,2010,776658,7767,3.00
28,305,Coal_300_OT_CCS,2010,743272,7433,3.00
28,11,Biomass_IGCC_CCS,2010,3000000,30000,3.20
28,11,Biomass_IGCC_CCS,2011,3000000,30000,3.20
28,11,Biomass_IGCC_CCS,2012,3000000,30000,3.20
28,11,Biomass_IGCC_CCS,2013,3000000,30000,3.20
28,11,Biomass_IGCC_CCS,2014,3000000,30000,3.20
28,11,Biomass_IGCC_CCS,2015,3000000,30000,3.20
28,11,Biomass_IGCC_CCS,2016,3000000,30000,3.20
28,11,Biomass_IGCC_CCS,2017,3000000,30000,3.20
28,11,Biomass_IGCC_CCS,2018,3000000,30000,3.20
28,11,Biomass_IGCC_CCS,2019,3000000,30000,3.20
28,12,Bio_Gas,2010,1640000,16400,0.10
28,12,Bio_Gas,2011,1640000,16400,0.10
28,12,Bio_Gas,2012,1640000,16400,0.10
28,12,Bio_Gas,2013,1640000,16400,0.10
28,12,Bio_Gas,2014,1640000,16400,0.10
28,12,Bio_Gas,2015,1640000,16400,0.10
28,12,Bio_Gas,2016,1640000,16400,0.10
28,12,Bio_Gas,2017,1640000,16400,0.10
28,12,Bio_Gas,2018,1640000,16400,0.10
28,12,Bio_Gas,2019,1640000,16400,0.10
28,14,Geothermal,2010,2260000,22600,2.00
28,14,Geothermal,2011,2282826,22828,2.00
28,14,Geothermal,2012,2305883,23059,2.00
28,14,Geothermal,2013,2329172,23292,2.00
28,14,Geothermal,2014,2352697,23527,2.00
28,14,Geothermal,2015,2376459,23765,2.00
28,14,Geothermal,2016,2400461,24005,2.00
28,14,Geothermal,2017,2424706,24247,2.00
28,14,Geothermal,2018,2449195,24492,2.00
28,14,Geothermal,2019,2473932,24739,2.00
28,23,Hydro_Pumped,2010,900000,9000,0.00
28,23,Hydro_Pumped,2011,909540,9095,0.00
28,23,Hydro_Pumped,2012,919181,9192,0.00
28,23,Hydro_Pumped,2013,928924,9289,0.00
28,23,Hydro_Pumped,2014,938771,9388,0.00
28,23,Hydro_Pumped,2015,948722,9487,0.00
28,23,Hydro_Pumped,2016,958778,9588,0.00
28,23,Hydro_Pumped,2017,968942,9689,0.00
28,23,Hydro_Pumped,2018,979212,9792,0.00
28,23,Hydro_Pumped,2019,989592,9896,0.00
28,24,Compressed_Air_Energy_Storage,2010,770000,7700,2.00
28,24,Compressed_Air_Energy_Storage,2011,770000,7700,2.00
28,24,Compressed_Air_Energy_Storage,2012,770000,7700,2.00
28,24,Compressed_Air_Energy_Storage,2013,770000,7700,2.00
28,24,Compressed_Air_Energy_Storage,2014,770000,7700,2.00
28,24,Compressed_Air_Energy_Storage,2015,770000,7700,2.00
28,24,Compressed_Air_Energy_Storage,2016,770000,7700,2.00
28,24,Compressed_Air_Energy_Storage,2017,770000,7700,2.00
28,24,Compressed_Air_Energy_Storage,2018,770000,7700,2.00
28,24,Compressed_Air_Energy_Storage,2019,770000,7700,2.00
28,303,Coal_300_DRY,2010,631429,6314,3.00
28,103,Coal_1000_DRY,2010,587143,5871,3.00
28,103,Coal_1000_DRY,2011,587143,5871,3.00
28,103,Coal_1000_DRY,2012,587143,5871,3.00
28,103,Coal_1000_DRY,2013,587143,5871,3.00
28,103,Coal_1000_DRY,2014,587143,5871,3.00
28,103,Coal_1000_DRY,2015,587143,5871,3.00
28,103,Coal_1000_DRY,2016,587143,5871,3.00
28,103,Coal_1000_DRY,2017,587143,5871,3.00
28,103,Coal_1000_DRY,2018,587143,5871,3.00
28,103,Coal_1000_DRY,2019,587143,5871,3.00
28,104,Coal_1000_SEA,2010,534286,5343,3.00
28,104,Coal_1000_SEA,2011,534286,5343,3.00
28,104,Coal_1000_SEA,2012,534286,5343,3.00
28,104,Coal_1000_SEA,2013,534286,5343,3.00
28,104,Coal_1000_SEA,2014,534286,5343,3.00
28,104,Coal_1000_SEA,2015,534286,5343,3.00
28,104,Coal_1000_SEA,2016,534286,5343,3.00
28,104,Coal_1000_SEA,2017,534286,5343,3.00
28,104,Coal_1000_SEA,2018,534286,5343,3.00
28,104,Coal_1000_SEA,2019,534286,5343,3.00
28,31,Bio_Gas_Steam_Turbine_EP,2018,1640000,16400,0.10
28,31,Bio_Gas_Steam_Turbine_EP,2019,1640000,16400,0.10
28,201,Coal_600_OT,2010,470000,4700,3.00
28,201,Coal_600_OT,2011,470000,4700,3.00
28,201,Coal_600_OT,2012,470000,4700,3.00
28,201,Coal_600_OT,2013,470000,4700,3.00
28,201,Coal_600_OT,2014,470000,4700,3.00
28,201,Coal_600_OT,2015,470000,4700,3.00
28,201,Coal_600_OT,2016,470000,4700,3.00
28,201,Coal_600_OT,2017,470000,4700,3.00
28,201,Coal_600_OT,2018,470000,4700,3.00
28,201,Coal_600_OT,2019,470000,4700,3.00
28,32,Bio_Liquid_Steam_Turbine_Cogen_EP,2010,1600000,16000,3.00
28,32,Bio_Liquid_Steam_Turbine_Cogen_EP,2011,1600000,16000,3.00
28,32,Bio_Liquid_Steam_Turbine_Cogen_EP,2012,1600000,16000,3.00
28,32,Bio_Liquid_Steam_Turbine_Cogen_EP,2013,1600000,16000,3.00
28,32,Bio_Liquid_Steam_Turbine_Cogen_EP,2014,1600000,16000,3.00
28,32,Bio_Liquid_Steam_Turbine_Cogen_EP,2015,1600000,16000,3.00
28,32,Bio_Liquid_Steam_Turbine_Cogen_EP,2016,1600000,16000,3.00
28,32,Bio_Liquid_Steam_Turbine_Cogen_EP,2017,1600000,16000,3.00
28,32,Bio_Liquid_Steam_Turbine_Cogen_EP,2018,1600000,16000,3.00
28,32,Bio_Liquid_Steam_Turbine_Cogen_EP,2019,1600000,16000,3.00
28,202,Coal_600_RC,2010,525714,5257,3.00
28,202,Coal_600_RC,2011,525714,5257,3.00
