province_start,province_end,transmission_line_id,existing_transfer_capacity_mw,transmission_length_km,transmission_efficiency,new_transmission_builds_allowed,dc_line
Jiangxi,Fujian,84,7500,442.6535527,0.972494783,1,0
Jiangxi,Guangdong,85,7500,671.8521889,0.95825304,1,0
Jiangxi,Hubei,86,7500,261.5189661,0.983749965,1,0
Jiangxi,Hunan,87,7500,290.2185417,0.981966656,1,0
Jiangxi,West_Inner_Mongolia,166,7200,1404.340237,0.912738343,1,1
Jiangxi,Zhejiang,88,7500,448.5940135,0.97212566,1,0
Jilin,East_Inner_Mongolia,89,7500,524.2459734,0.967424865,1,0
Jilin,Heilongjiang,90,7500,230.7270874,0.985663283,1,0
Jilin,Liaoning,91,7500,279.9925167,0.982602072,1,0
Liaoning,East_Inner_Mongolia,92,7500,634.8267153,0.960553697,1,0
Liaoning,Hebei,93,7500,867.0539114,0.946123768,1,0
Liaoning,Jilin,94,7500,279.9925167,0.982602072,1,0
Ningxia,Gansu,95,7500,347.8442882,0.978385958,1,0
Ningxia,Shaanxi,96,7500,525.5026511,0.967346779,1,0
Ningxia,Shandong,97,4000,966.386539,0.939951524,1,1
Ningxia,West_Inner_Mongolia,98,7500,530.4620781,0.967038615,1,0
Ningxia,Zhejiang,99,7200,1564.378007,0.902794057,1,1
Qinghai,Gansu,100,7500,185.809818,0.988454313,1,0
Qinghai,Sichuan,101,7500,694.6303196,0.956837673,1,0
Qinghai,Tibet,102,1200,1256.325545,0.92193555,0,0
Qinghai,Xinjiang,103,7500,1441.957734,0.9104009,1,0
Shaanxi,Chongqing,104,7500,571.3647054,0.964497043,1,0
Shaanxi,Gansu,105,7500,513.4140306,0.968097931,1,0
Shaanxi,Henan,106,7500,434.2129296,0.973019259,1,0
Shaanxi,Hubei,107,7500,648.0978972,0.959729064,1,0
Shaanxi,Jiangsu,108,4000,946.6245306,0.941179479,1,1
Shaanxi,Ningxia,109,7500,525.5026511,0.967346779,1,0
Shaanxi,Shanxi,110,7500,516.5925955,0.967900424,1,0
Shaanxi,Sichuan,111,6000,607.1590003,0.962272889,1,0
Shaanxi,West_Inner_Mongolia,112,7500,767.4990415,0.952309821,1,0
Shandong,Anhui,113,7500,534.7364824,0.966773015,1,0
Shandong,East_Inner_Mongolia,183,14400,1189.062534,0.92611508,1,1
Shandong,Hebei,114,7500,270.0319129,0.983220995,1,0
Shandong,Henan,115,7500,369.9486997,0.977012454,1,0
Shandong,Jiangsu,116,12500,538.6349507,0.966530776,1,0
Shandong,Ningxia,171,4000,966.386539,0.939951524,1,1
Shandong,Shanxi,170,4000,414.7095262,0.974231145,1,0
Shandong,Tianjin,180,5000,274.5392924,0.982940919,1,0
Shandong,Xinjiang,168,7200,2602.641169,0.838279375,1,1
Shanghai,Jiangsu,117,7500,270.6537709,0.983182354,1,0
Shanghai,Zhejiang,118,12500,165.3975928,0.98972267,1,0
Shanxi,Hebei,119,7500,169.4744038,0.989469349,1,0
Shanxi,Henan,120,7500,359.5453254,0.977658889,1,0
Shanxi,Hunan,121,5000,1075.970135,0.933142315,1,0
Shanxi,Jiangsu,122,5000,859.1410375,0.946615451,1,0
Shanxi,Shaanxi,123,7500,516.5925955,0.967900424,1,0
Shanxi,Shandong,124,4000,414.7095262,0.974231145,1,0
Shanxi,West_Inner_Mongolia,125,7500,337.1267222,0.979051917,1,0
Sichuan,Chongqing,126,11500,263.8307426,0.983606318,1,0
Sichuan,Gansu,127,7500,602.0171439,0.962592389,1,0
Sichuan,Guangdong,128,6400,1236.777544,0.923150206,1,1
Sichuan,Guizhou,129,7500,521.6044921,0.967588999,1,0
Sichuan,Hunan,130,8000,903.9261465,0.943832633,1,1
Sichuan,Qinghai,131,7500,694.6303196,0.956837673,1,0
Sichuan,Shaanxi,132,6000,607.1590003,0.962272889,1,0
Sichuan,Tibet,133,7500,1249.310391,0.922371451,0,0
Sichuan,Yunnan,134,7500,639.0916278,0.960288687,1,0
Tianjin,Beijing,135,7500,112.8813082,0.992985881,1,0
Tianjin,East_Inner_Mongolia,174,4000,918.6845125,0.942915591,1,1
Tianjin,Hebei,136,7500,264.9632733,0.983535945,1,0
Tianjin,Shandong,137,5000,274.5392924,0.982940919,1,0
Tibet,Qinghai,138,2700,1256.325545,0.92193555,0,1
Tibet,Sichuan,139,7500,1249.310391,0.922371451,0,0
Tibet,Xinjiang,140,7500,1602.2478,0.900440937,0,0
Tibet,Yunnan,141,7500,1251.930411,0.922208651,0,0
West_Inner_Mongolia,East_Inner_Mongolia,142,7500,981.6761886,0.93900147,1,0
West_Inner_Mongolia,Gansu,143,7500,867.8542348,0.946074038,1,0
West_Inner_Mongolia,Hebei,144,7500,392.6267178,0.975603307,1,0
West_Inner_Mongolia,Jiangxi,145,7200,1404.340237,0.912738343,1,1
West_Inner_Mongolia,Ningxia,146,7500,530.4620781,0.967038615,1,0
West_Inner_Mongolia,Shaanxi,147,7500,767.4990415,0.952309821,1,0
West_Inner_Mongolia,Shanxi,148,16500,337.1267222,0.979051917,1,0
Xinjiang,Gansu,149,7500,1618.112566,0.899455147,1,0
Xinjiang,Henan,150,14400,2443.060345,0.848195268,1,1
Xinjiang,Qinghai,151,7500,1441.957734,0.9104009,1,0
Xinjiang,Shandong,152,7200,2602.641169,0.838279375,1,1
Xinjiang,Tibet,153,7500,1602.2478,0.900440937,0,0
Yunnan,Guangdong,154,5000,1092.54361,0.932112487,1,1
Yunnan,Guangxi,155,7500,621.7638715,0.961365384,1,0
Yunnan,Guizhou,156,7500,435.7787242,0.972921965,1,0
Yunnan,Sichuan,157,7500,639.0916278,0.960288687,1,0
Yunnan,Tibet,158,7500,1251.930411,0.922208651,0,0
Yunnan,Zhejiang,159,7200,1812.169396,0.887397014,1,1
Zhejiang,Anhui,160,7500,327.0532209,0.979677855,1,0
Zhejiang,Fujian,161,7500,473.2071071,0.970596274,1,0
Zhejiang,Jiangsu,162,7500,238.0104033,0.985210719,1,0
Zhejiang,Jiangxi,163,7500,448.5940135,0.97212566,1,0
Zhejiang,Ningxia,165,7200,1564.378007,0.902794057,1,1
Zhejiang,Shanghai,164,7500,165.3975928,0.98972267,1,0
Zhejiang,Yunnan,184,7200,1812.169396,0.887397014,1,1
